DAG
attr0 has 2 parent(s): {output, GlobalHidden_0}
attr1 has 2 parent(s): {output, GlobalHidden_0}
attr2 has 2 parent(s): {output, GlobalHidden_0}
attr3 has 2 parent(s): {output, GlobalHidden_0}
attr4 has 2 parent(s): {output, GlobalHidden_0}
attr5 has 2 parent(s): {output, GlobalHidden_0}
attr6 has 2 parent(s): {output, GlobalHidden_0}
attr7 has 2 parent(s): {output, GlobalHidden_0}
attr8 has 2 parent(s): {output, GlobalHidden_0}
attr9 has 2 parent(s): {output, GlobalHidden_0}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	-16.810720243935208	0.48
200	-16.990111580011483	0.77
300	-17.26644312424165	0.93
400	-17.763490987803397	0.93
500	-17.044822190351734	0.84
600	-17.367597747365764	0.84
700	-17.17876461708769	0.96
800	-17.354978871773618	0.87
900	-17.589525182302726	0.92
1000	-17.38576711508321	0.9
1100	-17.256341285963288	0.93
1200	-17.761827316197703	0.86
1300	-17.706348050866755	0.92
1400	-17.61669156563851	0.94
1500	-17.529895381751334	0.9
1600	-18.22999279617741	0.9
1700	-18.040462752562462	0.89
1800	-17.61641588053043	0.92
1900	-18.224896105326675	0.88
2000	-17.684308192449194	0.89
2100	-17.236262660172642	0.87
2200	-17.080899376202943	0.85
2300	-17.277980284502284	0.94
2400	-18.25387756370038	0.86
2500	-17.43247473492335	0.89
2600	-17.777193202783423	0.89
2700	-17.846281467587833	0.89
2800	-17.863541688451324	0.89
2900	-17.553006160286778	0.87
3000	-17.3010928391595	0.87
3100	-17.630511769533825	0.97
3200	-17.585277571345337	0.94
3300	-17.979169058606484	0.96
3400	-17.66813613414265	0.9
3500	-18.36370309781559	0.92
3600	-17.998436201826234	0.86
3700	-17.720342280462685	0.91
3800	-17.830547584061247	0.9
3900	-18.371313232570706	0.92
4000	-18.20831552780195	0.95
4100	-18.908210272952264	0.91
4200	-18.134109586684563	0.88
4300	-18.470824519126854	0.88
4400	-18.445223111516547	0.93
4500	-17.589448014637895	0.92
4600	-18.875076299857497	0.89
4700	-18.640293081413514	0.93
4800	-17.81462325538476	0.92
4900	-18.565067545206798	0.89
5000	-18.762029756116124	0.94
5100	-18.42357061819171	0.94
5200	-17.581777251636836	0.9
5300	-18.644074409344995	0.89
5400	-18.750853586910306	0.93
5500	-18.131220354857923	0.92
5600	-18.174894760617754	0.85
5700	-17.78767420064507	0.9
5800	-18.260676816191918	0.91
5900	-17.882264680015364	0.96
6000	-18.28086131836347	0.87
6100	-18.175161236954235	0.95
6200	-18.38539789715388	0.93
6300	-18.635036157879505	0.94
6400	-18.581997125529895	0.92
6500	-18.68959881329732	0.86
6600	-18.656931934889037	0.95
6700	-18.493071460753733	0.88
6800	-17.777283945043376	0.92
6900	-18.435417143658654	0.92
7000	-18.313448853830284	0.92
7100	-18.426481315454378	0.93
7200	-17.889800865260977	0.93
7300	-18.86930379172671	0.91
7400	-18.219508089094	0.92
7500	-18.07382679808244	0.94
7600	-18.62627522582193	0.83
7700	-18.474076851984513	0.94
7800	-17.828839786540655	0.86
7900	-19.004596924575115	0.94
8000	-18.438886443324808	0.85
8100	-18.593135826513404	0.92
8200	-18.6007172583181	0.92
8300	-18.31307791415399	0.89
8400	-19.031346642823678	0.92
8500	-18.38358233633447	0.91
8600	-18.624277300942172	0.88
8700	-19.080205174759563	0.95
8800	-18.206341575867242	0.93
8900	-18.564315741219055	0.9
9000	-18.954320000780495	0.94
9100	-18.612991431689927	0.89
9200	-18.660902127756447	0.83
9300	-18.86695991137753	0.83
9400	-19.12344322386068	0.89
9500	-18.83522765204509	0.89
9600	-19.05686491570807	0.9
9700	-18.702300682356412	0.91
9800	-18.3047951343354	0.88
9900	-19.49185337015718	0.9
10000	-18.691737082389167	0.92
0.8902970297029704
