DAG
at1 has 2 parent(s): {cl, GlobalHidden_0}
at2 has 2 parent(s): {cl, GlobalHidden_0}
at3 has 2 parent(s): {cl, GlobalHidden_0}
cl has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
1000	8.956616123965981	0.336
2000	8.839941425108027	0.876
3000	8.820552851579421	0.869
4000	8.748542200956743	0.87
5000	8.889501313003603	0.866
6000	8.948208701913083	0.875
7000	8.956766909480924	0.886
8000	8.892179293439659	0.867
9000	8.937414056094559	0.888
10000	8.837668791598936	0.875
11000	9.003849603297935	0.862
12000	8.780554484168883	0.875
13000	8.800848574335221	0.859
14000	8.76436513854107	0.868
15000	8.917689625648904	0.876
16000	9.021330434934399	0.833
17000	9.074406472131288	0.814
18000	9.139251374828884	0.862
19000	9.020361700652167	0.843
20000	9.102757170156753	0.82
21000	9.090280889868259	0.85
22000	9.040168499384006	0.85
23000	9.135250090012903	0.846
24000	8.995205092536544	0.856
25000	9.216817080108912	0.841
26000	9.131232681904075	0.865
27000	9.139000111066464	0.842
28000	9.123463983684974	0.858
29000	9.027712277019196	0.839
30000	9.16864859831212	0.857
31000	8.583200368685748	0.799
32000	8.635770397834477	0.855
33000	8.81911252797207	0.869
34000	8.647437072215853	0.835
35000	8.640896146059365	0.836
36000	8.679248799418666	0.86
37000	8.786694732645946	0.858
38000	8.685654988867524	0.857
39000	8.690110586884348	0.854
40000	8.722569254348635	0.851
41000	8.71997204974112	0.852
42000	8.563572249424569	0.88
43000	8.732376187286315	0.865
44000	8.697721492887478	0.856
45000	8.728172222697625	0.876
46000	8.928231701230926	0.809
47000	9.083701295455791	0.81
48000	9.01307133020523	0.841
49000	9.158071177741043	0.818
50000	9.157275667776087	0.859
51000	9.011249307553157	0.86
52000	9.12054825855809	0.843
53000	9.048912390202966	0.857
54000	9.094318140532883	0.836
55000	9.147818830629095	0.861
56000	9.107745600858546	0.839
57000	8.954599846295377	0.851
58000	9.056878600454734	0.838
59000	9.036826225014194	0.846
60000	9.179987778589512	0.841
0.8300983606557376
