DAG
at1 has 1 parent(s): {cl}
at2 has 1 parent(s): {cl}
at3 has 1 parent(s): {cl}
cl has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	12.384787706559077	0.37
200	12.384787706559077	0.84
300	12.384787706559077	0.8
400	12.384787706559077	0.88
500	12.384787706559077	0.88
600	12.384787706559077	0.89
700	12.384787706559077	0.85
800	12.384787706559077	0.87
900	12.384787706559077	0.88
1000	12.384787706559077	0.92
1100	12.384787706559077	0.86
1200	12.384787706559077	0.96
1300	12.384787706559077	0.86
1400	12.384787706559077	0.87
1500	12.384787706559077	0.84
1600	12.384787706559077	0.86
1700	12.384787706559077	0.85
1800	12.384787706559077	0.88
1900	12.384787706559077	0.89
2000	12.384787706559077	0.85
2100	12.384787706559077	0.87
2200	12.384787706559077	0.8
2300	12.384787706559077	0.84
2400	12.384787706559077	0.9
2500	12.384787706559077	0.91
2600	12.384787706559077	0.87
2700	12.384787706559077	0.93
2800	12.384787706559077	0.85
2900	12.384787706559077	0.91
3000	12.384787706559077	0.85
3100	12.384787706559077	0.93
3200	12.384787706559077	0.9
3300	12.384787706559077	0.88
3400	12.384787706559077	0.86
3500	12.384787706559077	0.81
3600	12.384787706559077	0.89
3700	12.384787706559077	0.86
3800	12.384787706559077	0.9
3900	12.384787706559077	0.82
4000	12.384787706559077	0.88
4100	12.384787706559077	0.88
4200	12.384787706559077	0.9
4300	12.384787706559077	0.89
4400	12.384787706559077	0.84
4500	12.384787706559077	0.87
4600	12.384787706559077	0.84
4700	12.384787706559077	0.91
4800	12.384787706559077	0.86
4900	12.384787706559077	0.89
5000	12.384787706559077	0.86
5100	12.384787706559077	0.84
5200	12.384787706559077	0.82
5300	12.384787706559077	0.86
5400	12.384787706559077	0.92
5500	12.384787706559077	0.88
5600	12.384787706559077	0.89
5700	12.384787706559077	0.86
5800	12.384787706559077	0.91
5900	12.384787706559077	0.88
6000	12.384787706559077	0.9
6100	12.384787706559077	0.91
6200	12.384787706559077	0.83
6300	12.384787706559077	0.9
6400	12.384787706559077	0.92
6500	12.384787706559077	0.91
6600	12.384787706559077	0.85
6700	12.384787706559077	0.88
6800	12.384787706559077	0.87
6900	12.384787706559077	0.88
7000	12.384787706559077	0.87
7100	12.384787706559077	0.92
7200	12.384787706559077	0.83
7300	12.384787706559077	0.82
7400	12.384787706559077	0.85
7500	12.384787706559077	0.84
7600	12.384787706559077	0.89
7700	12.384787706559077	0.88
7800	12.384787706559077	0.91
7900	12.384787706559077	0.85
8000	12.384787706559077	0.84
8100	12.384787706559077	0.86
8200	12.384787706559077	0.89
8300	12.384787706559077	0.87
8400	12.384787706559077	0.9
8500	12.384787706559077	0.84
8600	12.384787706559077	0.89
8700	12.384787706559077	0.87
8800	12.384787706559077	0.92
8900	12.384787706559077	0.86
9000	12.384787706559077	0.97
9100	12.384787706559077	0.89
9200	12.384787706559077	0.91
9300	12.384787706559077	0.84
9400	12.384787706559077	0.88
9500	12.384787706559077	0.9
9600	12.384787706559077	0.91
9700	12.384787706559077	0.89
9800	12.384787706559077	0.88
9900	12.384787706559077	0.79
10000	12.384787706559077	0.83
10100	12.384787706559077	0.83
10200	12.384787706559077	0.91
10300	12.384787706559077	0.88
10400	12.384787706559077	0.76
10500	12.384787706559077	0.89
10600	12.384787706559077	0.9
10700	12.384787706559077	0.83
10800	12.384787706559077	0.91
10900	12.384787706559077	0.89
11000	12.384787706559077	0.86
11100	12.384787706559077	0.94
11200	12.384787706559077	0.85
11300	12.384787706559077	0.87
11400	12.384787706559077	0.87
11500	12.384787706559077	0.9
11600	12.384787706559077	0.91
11700	12.384787706559077	0.87
11800	12.384787706559077	0.89
11900	12.384787706559077	0.8
12000	12.384787706559077	0.85
12100	12.384787706559077	0.84
12200	12.384787706559077	0.89
12300	12.384787706559077	0.92
12400	12.384787706559077	0.89
12500	12.384787706559077	0.85
12600	12.384787706559077	0.87
12700	12.384787706559077	0.85
12800	12.384787706559077	0.85
12900	12.384787706559077	0.85
13000	12.384787706559077	0.85
13100	12.384787706559077	0.85
13200	12.384787706559077	0.89
13300	12.384787706559077	0.88
13400	12.384787706559077	0.87
13500	12.384787706559077	0.87
13600	12.384787706559077	0.87
13700	12.384787706559077	0.92
13800	12.384787706559077	0.87
13900	12.384787706559077	0.87
