month,NB,NB-DYNAMIC,NB-FS
1,0.807014404,0.810551967,0.834113459
2,0.813188847,0.816920545,0.845148692
3,0.827435525,0.832977087,0.886120094
4,0.835866803,0.83836635,0.867627213
5,0.819375234,0.821575588,0.849538876
6,0.853114541,0.855361501,0.873349289
7,0.855613948,0.858208406,0.834449598
8,0.866724815,0.869622996,0.893129383
9,0.875625993,0.879031736,0.89019812
10,0.877875317,0.879602768,0.888934849
11,0.883693573,0.886067925,0.915008561
12,0.887435665,0.889860496,0.92303193
13,0.891128747,0.893659197,0.9056268
14,0.895638971,0.896519858,0.92062748
15,0.897456061,0.899882605,0.91856856
16,0.896500186,0.896925764,0.913651603
17,0.900811283,0.901084451,0.93487492
18,0.899800776,0.900117917,0.938143208
19,0.894249845,0.894376877,0.93554346
20,0.902960264,0.904108993,0.937900007
21,0.897622415,0.898005242,0.909138316
22,0.90121565,0.902424555,0.862031747
23,0.903782615,0.90418057,0.919575053
24,0.909692554,0.910374484,0.863478537
25,0.906744185,0.90711778,0.930761051
26,0.897679771,0.897910775,0.933785435
27,0.884316334,0.884983648,0.915131782
28,0.888552825,0.890373165,0.93638195
29,0.893836184,0.894541487,0.932839165
30,0.898407545,0.899007294,
31,0.909815013,0.910309791,
32,0.911985843,0.912665182,
33,0.906613076,0.906894643,
34,0.899648438,0.899818967,
35,0.901166943,0.901635278,
36,0.902101331,0.902683608,
37,0.909113163,0.909053594,
38,0.925766894,0.926041391,
39,0.922538684,0.923391143,
40,0.913155207,0.914011801,
41,0.911389414,0.911614175,
42,0.898508882,0.898834481,
43,0.909359705,0.910492353,
44,0.916055195,0.916744643,
45,0.920203893,0.921073243,
46,0.925119217,0.925402607,
47,0.934536647,0.935390656,
48,0.927549796,0.929135984,
49,0.926610251,0.928826419,
50,0.925649394,0.927553976,
51,0.930774258,0.93236904,
52,0.932811514,0.933337753,
53,0.93092558,0.931881954,
54,0.933786503,0.934531232,
55,0.934575831,0.934693374,
56,0.937133195,0.938050746,
57,0.939545313,0.941358879,
58,0.928739313,0.929572034,
59,0.928112985,0.928700821,
60,0.930994665,0.931708316,
61,0.935502114,0.936578855,
62,0.941479525,0.942225493,
63,0.933494251,0.935862411,
64,0.931888094,0.932115608,
65,0.941617199,0.942021491,
66,0.939411401,0.939779027,
67,0.942067483,0.94260557,
68,0.94837132,0.950440701,
69,0.944535097,0.946767464,
70,0.950103634,0.952116572,
71,0.955133107,0.955851133,
