@relation stream
@attribute attr0	 numeric
@attribute attr1	 numeric
@attribute attr2	 numeric
@attribute attr3	 numeric
@attribute attr4	 numeric
@attribute attr5	 numeric
@attribute attr6	 numeric
@attribute attr7	 numeric
@attribute attr8	 numeric
@attribute attr9	 numeric
@attribute output	{0,1}

@data
0.031337,0.56649,0.389565,0.424643,0.85313,0.552442,0.651868,0.258164,0.68876,0.10798,0
0.736709,0.976751,0.666018,0.330315,0.348992,0.613775,0.391591,0.028845,0.892445,0.944336,1
0.296464,0.774811,0.681787,0.736286,0.571683,0.93103,0.614503,0.485105,0.686068,0.191413,1
0.268038,0.232699,0.930201,0.947699,0.412382,0.653455,0.34809,0.999704,0.025922,0.882774,1
0.773298,0.265773,0.995941,0.149586,0.017813,0.429112,0.201519,0.308675,0.655395,0.300896,0
0.652184,0.408822,0.983685,0.308133,0.326019,0.704947,0.255996,0.752234,0.060362,0.841338,1
0.013406,0.402417,0.435924,0.98828,0.076655,0.04038,0.992931,0.206524,0.478042,0.198153,1
0.891078,0.172824,0.917251,0.452277,0.368113,0.312439,0.410487,0.489268,0.845735,0.95063,1
0.50319,0.322488,0.403105,0.154549,0.879183,0.712135,0.970478,0.1019,0.763211,0.028976,0
0.987354,0.168456,0.611767,0.816173,0.571293,0.899411,0.529328,0.855871,0.016354,0.604505,1
0.501079,0.400724,0.89405,0.942545,0.435056,0.783933,0.867533,0.832157,0.067686,0.229475,1
0.730764,0.50636,0.869244,0.969096,0.175231,0.79076,0.306694,0.437931,0.365106,0.625726,1
0.975933,0.272592,0.644224,0.731264,0.81987,0.770395,0.311501,0.90721,0.906699,0.81215,1
0.106284,0.168527,0.177654,0.941588,0.239525,0.399269,0.803945,0.312481,0.424567,0.858317,0
0.65847,0.436492,0.996275,0.520374,0.418233,0.251567,0.688759,0.703802,0.817259,0.794229,1
0.260219,0.078689,0.522127,0.233575,0.525156,0.761939,0.539673,0.269898,0.440371,0.708378,0
0.52091,0.875331,0.964942,0.813213,0.483601,0.769146,0.229419,0.838859,0.767312,0.099341,1
0.899927,0.837048,0.505132,0.868907,0.44422,0.138155,0.245409,0.59003,0.90081,0.153421,1
0.501286,0.064341,0.757129,0.381263,0.395375,0.285426,0.825317,0.41725,0.445854,0.564844,0
0.349462,0.110621,0.01736,0.162234,0.21668,0.879571,0.070459,0.857688,0.84066,0.62208,0
0.137522,0.348657,0.275311,0.917965,0.154067,0.913697,0.880936,0.391352,0.632478,0.471937,1
0.754216,0.153256,0.341442,0.570598,0.157363,0.525217,0.863019,0.662899,0.345648,0.716942,1
0.418643,0.341719,0.221994,0.382935,0.333839,0.915687,0.92165,0.059193,0.438509,0.206968,0
0.560785,0.442157,0.076448,0.046219,0.466208,0.636093,0.510294,0.609649,0.047956,0.615903,0
0.589591,0.496345,0.966405,0.99806,0.432946,0.946894,0.411817,0.0936,0.791611,0.60474,1
0.004411,0.547368,0.768373,0.416118,0.901309,0.37946,0.094997,0.612479,0.095349,0.79113,1
0.652006,0.788375,0.512399,0.854612,0.147751,0.94968,0.978577,0.687838,0.954005,0.234814,1
0.947398,0.981022,0.918257,0.262982,0.091175,0.21934,0.398584,0.298803,0.691812,0.375834,0
0.723042,0.904129,0.696465,0.066758,0.913224,0.104082,0.00483,0.846419,0.020727,0.308217,0
0.732242,0.334752,0.835055,0.641211,0.975139,0.228125,0.553656,0.558734,0.11246,0.580712,1
0.381511,0.985333,0.170964,0.425351,0.267298,0.676387,0.902072,0.387896,0.434829,0.114969,0
0.368616,0.734255,0.99636,0.35068,0.356263,0.763701,0.092178,0.043026,0.278525,0.304183,0
0.326064,0.828513,0.111734,0.801854,0.419914,0.20681,0.65344,0.376065,0.324425,0.484661,0
0.16178,0.793742,0.4902,0.823276,0.888422,0.362509,0.347138,0.149648,0.899698,0.830262,1
