@relation sea

@attribute at1 numeric
@attribute at2 numeric
@attribute at3 numeric
@attribute cl {0,1}

@data
6.677259,5.152133,2.982455,0
9.874437,8.817701,4.786266,1
7.118725,2.990575,1.964403,0
6.128244,8.449696,2.604408,1
7.592623,0.859845,5.763160,0
1.255071,5.924060,8.626920,1
7.816036,1.068024,8.051717,1
7.118628,3.250062,4.883653,1
8.402195,7.866108,4.071172,1
6.683809,8.857439,8.077220,1
1.848014,0.041624,2.913719,0
8.491319,5.518126,0.683810,0
6.377971,6.446970,9.841609,1
2.371031,8.468529,7.585784,0
9.536552,5.637501,7.528578,1
8.887563,2.412230,0.451066,0
0.278338,4.522238,5.566390,1
3.379677,3.643610,0.764681,0
3.685234,3.678401,3.203949,0
9.196527,3.887759,8.260495,1
0.334729,8.102104,3.207540,1
6.570632,0.793324,2.892827,0
6.430825,0.421404,2.762365,0
2.833635,3.213431,2.608146,0
7.735669,8.174537,0.074120,1
1.818147,0.838802,6.343037,0
4.517202,9.546987,7.679934,1
3.434745,5.940428,9.288227,1
4.042532,2.495767,6.475234,0
3.289091,9.368060,6.720349,1
9.789465,9.482714,5.038305,1
2.696145,7.646451,5.735073,0
5.820988,5.809193,1.547160,0
6.647995,7.890197,3.142515,1
7.437183,0.822449,4.878926,1
6.762877,4.167153,4.641403,0
6.662920,1.116637,1.418573,0
0.484697,8.138923,9.671927,0
7.621636,4.710233,2.897262,1
2.356684,8.632335,0.749594,1
4.441528,2.296754,5.816807,1
0.186952,8.959323,2.254719,1
9.781772,7.133646,8.496064,1
1.300799,3.137467,7.350058,1
4.254104,8.768632,7.915730,1
6.907554,7.587657,5.012964,1
2.297890,7.910226,4.846971,1
6.542561,5.596565,2.832246,0
7.893319,8.649054,2.073611,1
7.608376,4.328330,5.704406,1
1.461976,4.200469,3.934796,1
7.337936,1.284855,0.726492,0
0.053486,8.642221,6.330842,1
6.229878,1.343806,1.490231,0
9.254032,6.337201,3.182342,1
1.933766,6.014588,6.780681,1
4.663641,8.854291,7.907356,1
3.182621,3.611762,9.662165,1
7.812232,3.596961,7.407371,1
4.881815,8.133863,6.742208,1
6.776085,3.073050,1.896342,0
4.416856,3.386573,1.533732,0
9.723774,4.716074,9.467481,1
0.730662,6.248161,1.484626,0
5.102452,9.391982,7.666321,1
3.003744,7.328486,2.929670,0
0.925448,0.337041,5.966143,0
8.470904,2.708351,0.742565,0
5.781402,2.638907,8.252954,0
6.025480,9.786685,3.869146,1
4.502759,3.336627,7.406795,1
9.584788,8.891420,0.627726,1
8.283402,8.294047,2.972313,1
5.622533,5.901984,2.103121,1
6.239025,8.069263,2.355244,1
0.777615,3.097809,9.956919,1
5.736716,8.209872,6.757275,1
7.996557,0.626422,7.511451,1
3.963049,4.918245,7.732738,1
3.809665,8.360463,8.235077,1
6.654510,1.207390,3.380213,0
7.109374,5.483334,8.825025,1
3.552598,1.180269,8.058328,1
4.278078,8.015246,0.889230,0
6.225119,7.646505,1.776991,1
8.272926,9.288442,6.720993,1
4.206686,4.453731,5.783812,1
2.814194,4.018888,0.109419,0
5.226278,3.489632,1.745749,0
8.972966,0.570773,5.684051,0
1.751042,3.742378,6.855777,1
1.757625,7.745007,6.043914,1
5.391512,7.820905,2.204420,1
7.109346,8.925412,5.900414,1
3.379143,1.684226,9.332384,1
5.703115,9.441804,5.662042,0
2.931436,7.407790,3.265045,1
7.978563,8.949096,4.429966,1
2.691474,1.285744,5.758726,0
9.030750,1.802640,2.431842,0
9.623545,4.636262,8.086701,1
3.561674,3.987115,8.048923,1
5.671341,7.381308,3.134153,1
6.823111,8.796195,2.303849,1
6.203985,5.568893,1.658950,0
4.517989,6.088916,3.912154,1
7.374660,9.670880,1.658561,1
1.473520,4.090404,0.827673,0
8.726665,8.914373,7.829956,1
2.901489,5.878879,9.229156,1
3.260187,2.363309,9.947286,0
1.159504,2.251134,9.837845,1
7.820027,1.496795,1.546037,0
7.585711,5.458191,9.547479,1
5.129071,1.206040,1.365781,0
5.296443,2.193454,7.699656,1
1.107828,5.529612,6.311448,1
1.408491,5.540604,2.582146,1
7.903913,2.529432,4.751976,0
4.780566,4.589821,6.426906,1
6.086615,7.972943,4.938609,1
3.431134,4.486088,8.632697,1
5.692128,9.998478,5.162796,0
2.191932,2.862453,5.011680,0
8.392064,1.323128,7.309076,1
6.863732,9.891223,4.469233,1
2.420655,9.221209,3.831062,1
3.811029,0.257968,9.801814,1
8.230910,4.740423,3.569971,1
9.226511,2.202668,0.222249,0
2.201146,5.385046,5.907210,1
8.247499,0.918891,7.692838,1
2.242019,5.001915,6.440118,1
4.893138,0.909351,3.873396,0
0.130560,7.704458,4.515014,1
7.962426,4.316828,3.839234,1
9.057251,7.409204,7.855380,1
9.611873,8.077629,3.202400,1
3.462675,9.109611,6.206097,1
0.028501,3.898935,8.349735,1
8.900850,4.789853,1.376271,0
