@relation dataset

@attribute credit real
@attribute expenses real
@attribute income real
@attribute default {0, 1}


@data

6.443615,6.476047,8.99835,0
9.06653,2.032711,7.592325,1
7.987618,6.668218,9.511759,1
6.68646,8.89152,1.417768,1
8.672479,1.470362,3.74112,0
4.939198,3.699178,0.398763,0
0.97022,2.962126,1.224784,0
9.077399,3.403589,8.987473,1
9.879636,7.985823,6.388793,1
0.018534,3.981117,6.614697,1
0.649335,6.126455,6.823794,1
5.017975,8.241563,9.84904,1
9.711925,3.590161,9.194609,1
7.289339,9.593371,5.927558,1
2.555497,7.152342,7.987535,1
0.555932,6.975008,7.153911,0
4.960832,3.542703,9.381733,1
7.52382,5.996429,2.985518,0
2.122885,9.809313,5.508949,1
8.050876,5.35799,0.831314,0
8.948151,0.025923,2.413922,0
9.619294,8.34148,4.497047,1
5.493823,2.484583,3.807688,0
9.459591,0.961598,6.485322,0
4.504302,5.867055,9.399789,1
1.863485,2.385307,0.201276,0
2.19462,5.710226,1.12723,1
1.068216,1.958544,8.008295,0
1.984467,0.422216,6.253855,0
8.763697,0.750903,3.778553,0
3.235486,7.586241,0.307274,0
8.547839,6.792597,7.1155,1
2.659652,6.515289,5.080262,1
8.900596,5.281538,8.509507,1
0.991764,9.636738,1.34071,1
1.595282,9.349005,2.076346,1
9.771221,8.330201,5.18351,1
9.081103,8.962063,2.792438,1
6.548304,3.099712,5.011666,0
9.892309,2.127166,8.148283,1
8.642455,3.228544,7.075099,1
8.510082,5.584606,8.638267,1
5.221344,9.978976,1.561826,1
9.327982,3.638172,0.396375,0
1.968373,5.579885,7.634121,1
4.541948,0.42656,3.366065,0
3.526272,8.377731,6.186395,1
0.504897,4.334678,5.970542,1
7.563222,3.045641,6.690402,1
8.630247,5.328668,5.575151,1
5.307645,7.136977,0.668216,0
0.775149,1.064591,3.73483,0
6.644476,1.368951,3.792998,0
1.795511,7.159063,2.276677,1
5.536794,8.463072,8.740363,1
2.79775,4.710906,5.189043,0
7.756546,1.879445,6.434277,0
7.208113,2.009428,0.238384,0
9.146405,0.9066,7.151384,0
1.971191,0.886214,2.665076,0
2.255165,6.458074,9.802092,1
3.617137,2.078768,9.372458,1
0.54184,8.112822,5.195622,1
2.823727,0.384665,3.700561,1
2.26411,0.134838,6.967067,0
2.144265,7.205451,1.98798,1
8.11205,9.139365,1.212225,0
0.025579,3.877301,8.698909,1
0.335375,8.501,6.331419,1
0.579768,5.703878,3.106444,0
3.816699,8.302067,4.461198,1
