@relation 'synthethicData-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,5'

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real
@attribute D real
@attribute E {1,2}
@attribute G real
@attribute H real
@attribute I real

@data
2,3,0.454156,-1.062541,2,-2.964583,2.822559,0.056084
2,3,0.304424,-1.935651,2,-3.096622,-1.305728,0.640176
2,3,1.897717,-4.683793,1,-2.811306,1.02497,0.193539
2,3,0.371111,-1.666264,1,-2.512282,1.803352,1.11061
1,2,1.955938,-2.854261,2,-2.868633,1.102837,0.16535
1,1,-0.025327,-4.35499,1,-3.462773,2.564953,0.230714
2,3,0.021381,-4.023321,2,-2.984272,0.472031,-0.134553
1,3,2.122201,-2.09709,2,-3.291273,0.804432,0.080268
1,2,1.926431,-2.61248,1,-3.378361,2.710653,0.785402
2,2,1.305706,-4.430377,1,-3.308429,-1.733024,0.444918
2,2,1.065163,-3.449856,2,-3.082046,1.208755,0.197235
2,3,-0.12658,-2.825281,1,-3.475509,1.892474,0.928326
1,2,0.898591,-4.002456,2,-3.10454,4.053821,0.809778
2,1,-0.89755,-1.937116,2,-3.012063,-0.105597,0.119657
2,3,1.141384,-4.032017,2,-3.013238,1.81503,0.890386
1,3,0.147056,-2.914738,2,-2.593967,0.185397,-0.389153
2,3,0.922667,-2.47537,2,-3.097772,-0.535692,-0.045967
2,3,-0.316711,-2.308319,2,-3.037868,0.485285,1.165834
2,3,-0.854693,-3.094071,2,-3.295665,1.89725,0.341944
2,3,-0.486418,-2.200268,2,-2.202318,1.644833,0.685826
2,3,0.556781,-2.867811,2,-3.069797,2.036576,0.073709
2,3,0.615097,-3.165573,1,-3.258204,0.753722,0.585347
2,3,-0.149841,-5.621749,1,-2.651948,1.010777,0.205768
2,2,-0.776532,-4.389044,2,-3.281579,1.56982,0.809313
2,2,1.401298,-3.393048,2,-2.917626,2.675661,0.725152
1,1,1.404227,-3.472079,2,-3.228701,1.791471,0.849098
2,1,0.588991,-3.410068,2,-3.302656,1.464957,0.545069
2,2,0.80431,-4.208738,2,-2.896727,-1.848018,0.516284
1,3,-0.893424,-3.423535,2,-2.959568,0.350308,0.453595
1,1,0.537733,-4.52584,2,-2.671013,3.004999,0.666223
1,3,1.908075,-2.341104,2,-3.247037,0.750116,0.239333
2,3,-1.116127,-4.560772,2,-2.938048,3.532961,0.89254
2,2,1.871061,-2.855736,2,-3.149828,1.072279,0.779286
2,3,-0.411477,-3.403064,2,-2.95848,1.216466,0.396234
2,2,-2.346797,-3.388868,1,-2.871571,1.18409,0.681736
2,3,1.31049,-3.753689,2,-2.83976,2.858007,0.888156
2,2,1.770175,-2.597367,1,-3.327831,-0.059268,0.443095
2,2,1.401961,-1.120868,2,-3.47712,3.198658,0.259289
1,2,0.933327,-2.490564,2,-3.283191,1.022618,0.557319
1,2,-1.505541,-3.846382,2,-2.998977,2.559858,0.767945
2,3,-1.026461,-2.850434,1,-2.80265,-0.642174,0.749056
2,3,1.288186,-3.622688,2,-2.884374,1.446347,0.308003
2,3,-1.46804,-3.517811,2,-3.089109,2.624414,0.792918
2,3,1.448634,-4.465596,2,-3.145029,3.10982,0.761289
2,2,-0.086629,-4.085071,2,-2.762157,2.339115,0.676407
2,1,0.325892,-2.874866,1,-3.022124,0.151269,1.335811
2,3,0.601371,-2.722618,2,-3.135283,1.281446,0.791918
2,3,-0.243592,-3.839075,1,-2.829632,2.201009,0.588122
2,2,0.843173,-3.794566,1,-3.101401,1.843508,0.586221
2,3,0.704845,-1.634089,1,-2.793258,1.953109,0.972157
2,3,-0.596267,-1.758607,2,-2.354344,1.402174,0.139863
2,3,1.127246,-1.755551,2,-3.198871,0.981191,1.003234
2,1,-0.302658,-2.602951,2,-2.869961,3.309849,0.352942
2,2,1.404398,-4.490855,1,-2.991666,4.228975,0.097561
2,3,0.060823,-3.256219,2,-3.125455,0.996997,-0.368413
1,3,2.395259,-3.903847,2,-3.180218,3.875658,0.853578
2,2,-0.645212,-2.616878,2,-3.219888,1.11637,0.45926
2,3,0.226762,-3.089638,2,-2.836348,0.826778,0.199363
2,1,0.940503,-2.934574,2,-3.217649,0.986816,-0.270411
1,2,0.17466,-1.93865,2,-2.642989,1.722516,0.885947
2,2,0.623232,-2.214829,2,-2.800581,0.994596,1.046595
1,3,1.296029,-2.277669,1,-2.917665,0.46939,0.808181
2,3,0.383244,-3.575478,2,-3.056075,0.007601,0.565741
2,2,2.039687,-1.047439,2,-2.865197,1.803872,-0.117497
1,3,1.251401,-3.738394,2,-2.74273,2.338905,-0.246332
2,3,-0.175897,-4.582093,2,-2.678628,2.510005,0.111914
2,3,1.319016,-1.684643,2,-3.515269,2.199757,0.340865
2,2,-0.593263,-1.319689,1,-3.231202,3.037059,0.218164
1,1,0.587391,-2.550854,2,-2.933572,2.225072,0.401364
2,2,0.780296,-3.232792,1,-3.336692,2.270036,0.016397
2,3,2.50767,-3.312723,1,-2.838137,-1.260616,0.875989
2,1,0.402848,-2.492607,2,-3.038385,1.015019,0.304635
2,3,-0.02626,-2.021811,1,-2.980332,4.01745,0.023553
2,3,0.018289,-4.360072,2,-3.025721,1.276186,0.849919
2,2,1.447809,-1.395596,2,-3.403231,2.803521,0.814472
2,2,0.876703,-3.479443,2,-3.131102,0.789999,0.683644
2,2,2.301797,-3.694295,2,-2.813279,2.097806,0.151781
2,3,1.640374,-2.649655,2,-2.508783,2.448357,0.490383
2,3,0.363958,-3.077479,2,-3.055707,0.79254,0.446658
1,3,0.157638,-2.269204,2,-2.632704,5.188051,0.543741
2,3,-2.632509,-1.692186,2,-2.926113,1.963654,0.927678
2,3,-0.284729,-1.179535,1,-2.949688,1.338505,0.843802
2,2,0.916182,-5.010666,2,-2.992861,1.469322,0.87857
2,3,1.658361,-2.868723,1,-3.102758,0.458636,0.644563
2,2,1.73984,-2.144685,2,-3.01527,0.168798,0.754855
1,3,1.230899,-2.459808,1,-3.372823,1.554251,0.780743
2,3,1.522531,-1.553307,2,-3.210437,-1.760208,0.257372
1,2,0.050266,-2.833906,2,-3.082393,3.640393,1.311302
2,3,0.642758,-2.988578,2,-2.810584,2.406975,0.329747
2,3,0.285042,-2.473276,1,-3.300724,1.242936,0.497795
2,2,-0.120178,-1.934785,2,-2.830191,-0.080145,-0.413632
1,3,0.896541,-1.90662,2,-3.169888,4.465408,0.337683
1,3,2.30434,-3.540507,2,-2.778454,2.302192,0.33956
1,1,0.065272,-3.835518,2,-2.877924,1.467519,0.663115
2,2,2.871232,-3.600156,2,-2.814805,0.837742,-0.703508
1,3,2.334501,-2.326366,2,-3.163742,1.676919,0.540342
2,2,1.623788,-2.922321,1,-3.076678,2.209032,0.43556
2,3,-0.003978,-2.501109,2,-2.808672,2.734104,0.220283
2,2,1.086533,-2.579653,2,-3.2707,1.736639,-0.563425
2,3,-1.563159,-4.25195,2,-2.823513,2.47071,0.267751
1,3,-1.071512,-1.671837,2,-3.1783,0.212942,0.546308
2,2,-0.094597,-1.369726,2,-2.884306,1.135581,1.015115
1,2,1.074143,-3.248188,2,-2.737664,1.403595,0.353546
2,3,1.303539,-4.132702,2,-3.233757,-0.293528,0.780891
2,2,1.721394,-1.929141,1,-3.194195,-0.519607,1.205121
2,3,2.846978,-2.495725,2,-3.191251,1.935933,0.686896
2,3,-0.065862,-3.230195,2,-3.171581,2.646324,0.454619
2,3,0.264497,-3.417058,2,-2.81181,1.230108,0.723991
2,2,1.078876,-1.138792,1,-3.217635,-0.354214,0.509179
2,1,0.114156,-4.958952,1,-3.28653,2.741642,0.38531
2,3,0.38791,-4.768672,1,-3.184503,1.503066,0.786408
2,3,0.99951,-4.662007,2,-3.065129,-1.371515,0.428595
2,1,1.59075,-3.487362,1,-3.306016,-0.117607,0.492469
2,3,0.362733,-2.529743,2,-3.003322,-1.137473,0.627748
1,2,0.094099,-3.478705,2,-3.171145,1.436874,0.964752
1,3,0.219223,-3.510144,2,-3.126713,1.730634,0.245574
2,3,-0.455704,-3.444361,2,-3.257551,0.9707,0.514936
2,2,-1.859441,-0.894742,2,-2.808895,1.569262,0.572781
2,3,-1.360556,-2.673887,1,-3.092981,2.210426,0.332345
2,2,0.303789,-2.503055,1,-3.186674,1.635602,0.665987
2,3,0.340549,-2.760565,2,-2.963707,1.569042,0.752827
2,3,0.40863,-3.159446,2,-2.870398,1.419532,0.390186
2,3,0.640187,-3.08936,2,-2.979899,0.645917,0.709104
1,2,1.524377,-2.805881,2,-3.199028,0.616413,0.907076
1,3,-0.066279,-3.964132,2,-2.591327,0.723357,1.021954
2,2,0.526304,-2.772382,2,-3.076983,1.176567,0.366272
2,3,1.421752,-3.631825,2,-2.864156,1.301685,0.632274
