@relation 'synthethicDataCajaMar'

@attribute V_LAT_SIGMA real
@attribute V_LAT_MEAS real
@attribute O_LAT_SIGMA real
@attribute O_LAT_MEAS real

@data
0.454156,-1.062541,-2.964583,2.822559
0.304424,-1.935651,-3.096622,-1.305728
1.897717,-4.683793,-2.811306,1.02497
0.371111,-1.666264,-2.512282,1.803352
1.955938,-2.854261,-2.868633,1.102837
-0.025327,-4.35499,-3.462773,2.564953
0.021381,-4.023321,-2.984272,0.472031
2.122201,-2.09709,-3.291273,0.804432
1.926431,-2.61248,-3.378361,2.710653
1.305706,-4.430377,-3.308429,-1.733024
1.065163,-3.449856,-3.082046,1.208755
-0.12658,-2.825281,-3.475509,1.892474
0.898591,-4.002456,-3.10454,4.053821
-0.89755,-1.937116,-3.012063,-0.105597
1.141384,-4.032017,-3.013238,1.81503
0.147056,-2.914738,-2.593967,0.185397
0.922667,-2.47537,-3.097772,-0.535692
-0.316711,-2.308319,-3.037868,0.485285
-0.854693,-3.094071,-3.295665,1.89725
-0.486418,-2.200268,-2.202318,1.644833
0.556781,-2.867811,-3.069797,2.036576
0.615097,-3.165573,-3.258204,0.753722
-0.149841,-5.621749,-2.651948,1.010777
-0.776532,-4.389044,-3.281579,1.56982
1.401298,-3.393048,-2.917626,2.675661
1.404227,-3.472079,-3.228701,1.791471
0.588991,-3.410068,-3.302656,1.464957
0.80431,-4.208738,-2.896727,-1.848018
-0.893424,-3.423535,-2.959568,0.350308
0.537733,-4.52584,-2.671013,3.004999
1.908075,-2.341104,-3.247037,0.750116
-1.116127,-4.560772,-2.938048,3.532961
1.871061,-2.855736,-3.149828,1.072279
-0.411477,-3.403064,-2.95848,1.216466
-2.346797,-3.388868,-2.871571,1.18409
1.31049,-3.753689,-2.83976,2.858007
1.770175,-2.597367,-3.327831,-0.059268
1.401961,-1.120868,-3.47712,3.198658
0.933327,-2.490564,-3.283191,1.022618
-1.505541,-3.846382,-2.998977,2.559858
-1.026461,-2.850434,-2.80265,-0.642174
1.288186,-3.622688,-2.884374,1.446347
-1.46804,-3.517811,-3.089109,2.624414
1.448634,-4.465596,-3.145029,3.10982
-0.086629,-4.085071,-2.762157,2.339115
0.325892,-2.874866,-3.022124,0.151269
0.601371,-2.722618,-3.135283,1.281446
-0.243592,-3.839075,-2.829632,2.201009
0.843173,-3.794566,-3.101401,1.843508
0.704845,-1.634089,-2.793258,1.953109
-0.596267,-1.758607,-2.354344,1.402174
1.127246,-1.755551,-3.198871,0.981191
-0.302658,-2.602951,-2.869961,3.309849
1.404398,-4.490855,-2.991666,4.228975
0.060823,-3.256219,-3.125455,0.996997
2.395259,-3.903847,-3.180218,3.875658
-0.645212,-2.616878,-3.219888,1.11637
0.226762,-3.089638,-2.836348,0.826778
0.940503,-2.934574,-3.217649,0.986816
0.17466,-1.93865,-2.642989,1.722516
0.623232,-2.214829,-2.800581,0.994596
1.296029,-2.277669,-2.917665,0.46939
0.383244,-3.575478,-3.056075,0.007601
2.039687,-1.047439,-2.865197,1.803872
