@relation 'synthethicVerdande'
@attribute depth real
@attribute gammaDiff real
@data
3.004999,0.454156
0.750116,0.304424
3.532961,1.897717
1.072279,0.371111
1.216466,1.955938
1.18409,-0.025327
2.858007,0.021381
-0.059268,2.122201
3.198658,1.926431
1.022618,1.305706
2.559858,1.065163
-0.642174,-0.12658
1.446347,0.898591
2.624414,-0.89755
3.10982,1.141384
2.339115,0.147056
0.151269,0.922667
1.281446,-0.316711
2.201009,-0.854693
1.843508,-0.486418
1.953109,0.556781
1.402174,0.615097
0.981191,-0.149841
3.309849,-0.776532
4.228975,1.401298
0.996997,1.404227
3.875658,0.588991
1.11637,0.80431
0.826778,-0.893424
0.986816,0.537733
1.722516,1.908075
0.994596,-1.116127
0.46939,1.871061
0.007601,-0.411477
1.803872,-2.346797
2.338905,1.31049
2.510005,1.770175
2.199757,1.401961
3.037059,0.933327
2.225072,-1.505541
2.270036,-1.026461
-1.260616,1.288186
1.015019,-1.46804
4.01745,1.448634
1.276186,-0.086629
2.803521,0.325892
0.789999,0.601371
2.097806,-0.243592
2.448357,0.843173
0.79254,0.704845
5.188051,-0.596267
1.963654,1.127246
1.338505,-0.302658
1.469322,1.404398
0.458636,0.060823
0.168798,2.395259
1.554251,-0.645212
-1.760208,0.226762
3.640393,0.940503
2.406975,0.17466
1.242936,0.623232
-0.080145,1.296029
4.465408,0.383244
2.302192,2.039687
1.467519,1.251401
0.837742,-0.175897
1.676919,1.319016
2.209032,-0.593263
2.734104,0.587391
1.736639,0.780296
2.47071,2.50767
0.212942,0.402848
1.135581,-0.02626
1.403595,0.018289
-0.293528,1.447809
-0.519607,0.876703
1.935933,2.301797
2.646324,1.640374
1.230108,0.363958
-0.354214,0.157638
2.741642,-2.632509
1.503066,-0.284729
-1.371515,0.916182
-0.117607,1.658361
-1.137473,1.73984
1.436874,1.230899
1.730634,1.522531
0.9707,0.050266
1.569262,0.642758
2.210426,0.285042
1.635602,-0.120178
1.569042,0.896541
1.419532,2.30434
0.645917,0.065272
0.616413,2.871232
0.723357,2.334501
1.176567,1.623788
1.301685,-0.003978
0.862909,1.086533
0.972394,-1.563159
2.462104,-1.071512
1.472685,-0.094597
-2.577052,1.074143
2.003494,1.303539
0.95216,1.721394
1.89878,2.846978
3.150778,-0.065862
0.779348,0.264497
4.115497,1.078876
1.28001,0.114156
3.158594,0.38791
3.165046,0.99951
2.444892,1.59075
2.946947,0.362733
-0.480882,0.094099
3.261455,0.219223
-0.782835,-0.455704
2.0521,-1.859441
3.141451,-1.360556
0.07313,0.303789
-0.797977,0.340549
2.185236,0.40863
0.830381,0.640187
-0.42139,1.524377
0.985892,-0.066279
2.256476,0.526304
2.049825,1.421752
1.143656,-0.73857
-1.277297,-0.904122
1.467207,2.121021
0.088049,0.932805
3.83611,2.791692
2.365208,0.975914
1.767478,1.432146
1.866687,-0.46952
1.902632,-0.693093
0.53078,1.138172
1.238076,1.476206
2.431592,1.516015
-0.044053,0.659427
1.368004,0.536209
1.709095,1.067452
3.372959,0.85579
0.602936,-0.423174
2.051583,-0.443841
0.557321,-0.291685
0.81525,1.712304
0.646384,1.542942
1.435356,-0.034649
1.721497,0.34131
1.831833,0.033304
-0.420396,0.29127
1.615414,0.180113
0.325657,0.227348
0.894377,2.451119
1.180901,1.009033
1.726675,1.05383
0.859318,2.009335
1.023103,-0.835197
-0.353861,0.017772
-0.441862,-0.154377
0.45858,0.782965
3.437736,2.34352
0.364257,0.807776
2.71874,0.131062
-0.667743,-0.205397
0.13423,1.455692
1.779557,1.285544
1.975626,1.687211
0.935806,1.781247
1.228489,0.332483
0.770243,1.577751
0.452974,1.235603
2.773973,0.031258
-1.179755,0.328267
1.399045,0.753676
-0.025327,-0.985655
-0.37999,0.081035
2.48595,-0.993317
-0.631362,-0.788131
1.598652,-0.978795
1.458263,0.932207
0.546977,0.858627
0.775651,-0.985377
-0.645153,2.225103
1.666043,-0.5239
1.390096,-1.251713
2.371552,-1.022434
-0.135498,-1.069308
0.390523,-0.065976
1.023027,2.135656
1.379984,0.576236
3.709803,1.248676
1.707435,0.450099
2.639081,0.45241
4.505672,1.024663
1.114874,-1.129405
5.592318,1.818599
0.495097,0.855969
1.358301,0.116167
3.713452,1.197809
2.883535,0.294286
1.357508,-0.853299
0.973205,1.105049
-0.556487,0.815512
1.651226,-0.068212
0.377924,1.22197
1.959611,1.15678
2.643863,-0.141838
2.546805,1.318501
-0.709619,1.588921
2.500675,1.400045
1.964778,0.499984
1.936672,0.96618
-1.942446,-1.156413
2.086651,-0.656555
-0.248701,0.753833
2.827925,-0.793651
0.759144,1.18954
0.553551,-0.072439
1.832572,-0.076748
1.796912,2.395482
1.970038,0.888196
1.482801,-0.357088
1.046734,1.263877
1.233974,-0.116215
1.998475,0.391881
2.669677,0.72494
3.523062,-0.001254
1.639267,0.599439
-0.637283,1.275517
0.782753,-1.034787
1.992497,1.316767
0.435581,1.687402
-0.56604,-0.147313
1.19895,-0.613568
-0.241835,-0.023987
0.221033,1.146554
1.911074,1.860095
-0.128219,1.348987
0.05625,0.551192
1.035548,1.045699
3.858904,2.279159
3.499225,-1.175424
2.1408,0.973642
4.574885,0.527844
2.511593,0.425701
4.137652,1.435689
2.93115,0.43211
-2.142297,0.62303
-1.604454,0.08827
-2.894768,-0.259042
-1.639152,2.983201
-2.573641,1.107456
-2.102993,-0.794442
-2.489942,1.318848
-1.36314,1.594149
-4.318707,0.268916
-3.185075,0.400233
-3.20667,2.014205
-2.808642,1.300727
-2.556394,0.487999
-2.254262,-0.336636
-2.625515,0.995469
-1.941799,1.200363
-1.575606,-0.171802
-2.890236,0.01775
-3.724801,0.606457
-3.851393,0.03168
-2.071705,0.236918
-2.181437,0.502766
-1.24958,-0.272624
-2.36295,-0.566014
-2.332683,0.910457
-2.766514,0.15432
-1.499706,-0.633719
-2.783233,0.34374
-2.887631,1.007084
-3.720006,0.323177
-4.448208,0.824849
-2.078805,-0.393092
-2.796615,-0.194004
-3.716569,0.442843
-3.518004,1.8575
-3.500454,-0.173898
-2.186885,1.197441
-2.195528,1.37561
-3.694107,1.80071
-2.944512,-1.19552
-2.443359,-0.078699
-3.799803,1.074741
-4.460581,-0.047051
-3.526602,-0.001521
-1.123106,2.138855
-2.880516,1.154677
-2.969188,0.934214
-0.687796,2.198768
-3.893554,-0.365246
-2.753642,-0.303471
-2.977477,0.563687
-3.000455,1.848877
-4.971567,-0.192287
-1.565104,-2.144812
-3.013132,-0.472317
-2.00771,-0.961296
-4.014832,1.647703
-2.652373,1.055074
1.079488,-0.558396
-1.975406,1.785332
-1.922831,0.770629
-4.233674,-0.331544
-1.760833,1.307368
-2.153759,1.350285
-3.81025,1.814107
-1.253264,-0.795723
-3.508816,-1.648731
-3.297195,-1.300893
-4.372232,1.170285
-2.05887,0.9362
-4.057506,0.301028
-2.616251,1.058684
-3.457195,-1.379004
-3.305321,0.508422
-5.671356,2.456664
-4.915276,1.126022
-2.297636,2.151649
-2.714645,0.489504
-3.019234,-0.102955
-2.933444,0.198676
-2.959284,2.048334
-2.536311,0.069183
-4.217255,-0.01676
-3.957742,0.666319
-3.166362,-0.087252
-1.930162,-0.454601
-2.256772,0.873121
-1.429248,1.005199
-1.844689,0.674543
-3.066141,-0.346885
-4.16544,1.575385
-2.329818,0.319939
