@relation dataset

@attribute SEQUENCE_ID real
@attribute word SparseMultinomial 6907
@attribute count real


@data
1,61,2
1,76,1
1,89,1
1,211,1
1,296,1
1,335,1
1,404,1
1,441,1
1,454,2
1,463,1
1,555,1
1,593,1
1,779,1
1,841,2
1,913,1
1,983,1
1,1116,1
1,1140,1
1,1206,2
1,1219,2
1,1263,1
1,1266,1
1,1267,1
1,1297,2
1,1298,2
1,1316,1
1,1323,2
1,1434,1
1,1534,1
1,1535,1
1,1683,1
1,1715,1
1,1837,2
1,1901,2
1,1919,1
1,2033,1
1,2101,1
1,2111,1
1,2275,1
1,2403,1
1,2640,2
1,2701,1
1,2742,1
1,2953,1
1,3005,2
1,3007,2
1,3112,1
1,3117,1
1,3142,1
1,3219,3
1,3238,2
1,3282,2
1,3310,1
1,3350,1
1,3399,1
1,3420,3
1,3452,1
1,3516,1
1,3534,1
1,3581,1
1,3708,1
1,3745,1
1,3806,1
1,3873,1
1,3929,5
1,3973,1
1,4113,1
1,4143,1
1,4196,1
1,4301,2
1,4347,1
1,4489,1
1,4497,4
1,4560,1
1,4565,1
1,4712,1
1,4735,1
1,4861,1
1,5004,1
1,5017,1
1,5114,1
1,5156,1
1,5185,2
1,5189,1
1,5241,1
1,5262,1
1,5287,1
1,5408,1
1,5517,1
1,5561,1
1,5728,1
1,6021,1
1,6429,1
1,6613,1
1,6622,1
1,6659,1
1,6662,2
1,6689,4
1,6724,1
1,6732,1
1,6815,1
1,6867,2
1,6869,1
1,6905,1
2,232,2
2,463,1
2,689,1
2,707,1
2,714,2
2,841,1
2,873,1
2,879,1
2,1063,1
2,1116,1
2,1187,1
2,1497,1
2,1510,1
2,1535,1
2,1587,1
2,1940,1
2,2111,1
2,2494,1
2,2640,1
2,2758,2
2,3070,1
2,3187,2
2,3350,2
2,3420,6
2,3422,1
2,3874,1
2,3913,1
2,3968,2
2,3991,1
2,4232,1
2,4235,1
2,4281,1
2,4290,1
2,4293,1
2,4579,1
2,4599,1
2,4604,1
2,4639,3
2,5190,1
2,5229,1
2,5524,2
2,5582,1
2,5810,2
2,5843,1
2,5894,2
2,6134,1
2,6299,1
2,6434,1
2,6511,1
2,6606,2
2,6621,2
2,6655,2
2,6689,2
2,6707,1
2,6715,2
2,6867,1
3,21,1
3,40,2
