@relation dataset

@attribute SEQUENCE_ID real
@attribute word SparseMultinomial 12420
@attribute count real


@data
1,2,1
1,39,1
1,42,3
1,77,1
1,95,1
1,96,1
1,105,1
1,108,1
1,133,3
1,137,2
1,140,1
1,149,1
1,155,1
1,158,17
1,169,1
1,172,4
1,316,3
1,365,1
1,389,1
1,426,2
1,428,17
1,433,2
1,437,1
1,478,1
1,518,1
1,523,1
1,532,1
1,533,1
1,540,2
1,542,1
1,550,1
1,552,1
1,574,3
1,579,1
1,639,2
1,653,1
1,654,1
1,673,1
1,675,1
1,676,2
1,695,1
1,697,3
1,698,1
1,786,1
1,822,3
1,904,2
1,937,1
1,941,2
1,954,2
1,986,1
1,987,1
1,990,3
1,1056,1
1,1087,3
1,1103,1
1,1135,1
1,1172,1
1,1188,1
1,1213,2
1,1222,1
1,1270,1
1,1282,1
1,1393,3
1,1395,2
1,1398,2
1,1418,1
1,1426,1
1,1482,2
1,1483,1
1,1493,1
1,1497,4
1,1498,16
1,1499,1
1,1500,4
1,1501,3
1,1595,1
1,1614,3
1,1616,1
1,1681,1
1,1759,1
1,1768,4
1,1769,1
1,1772,1
1,1783,1
1,1814,1
1,1824,4
1,1826,4
1,1872,1
1,1873,1
1,1927,1
1,1940,1
1,1943,1
1,1951,3
1,1976,2
1,1978,1
1,2005,1
1,2015,2
1,2042,1
1,2050,1
1,2052,3
1,2054,1
1,2055,1
1,2056,1
1,2059,4
1,2083,2
1,2084,2
1,2087,1
1,2094,1
1,2095,11
1,2111,2
1,2118,2
1,2144,1
1,2149,1
1,2153,1
1,2162,1
1,2175,1
1,2176,1
1,2177,1
1,2179,2
1,2182,1
1,2183,1
1,2185,4
1,2203,1
1,2204,14
1,2235,1
1,2267,1
1,2341,3
1,2346,4
1,2350,1
1,2404,2
1,2452,7
1,2455,2
1,2510,1
1,2512,1
1,2529,1
1,2561,1
1,2572,2
1,2574,3
1,2675,1
1,2676,4
1,2678,1
1,2680,1
1,2726,1
1,2756,1
1,2759,1
1,2777,1
1,2796,1
1,2797,2
1,2801,1
1,2806,3
1,2811,1
1,2813,4
1,2820,3
1,2821,2
1,2834,1
1,2836,3
1,2837,3
1,2840,3
1,2846,1
1,2847,2
1,2878,1
1,2902,1
1,2905,1
1,2907,3
1,2911,4
1,2920,3
1,2925,1
1,2943,6
1,2944,2
1,2960,1
1,2996,1
1,3009,1
1,3020,1
1,3023,2
1,3030,1
1,3057,4
1,3080,3
1,3095,1
1,3109,3
1,3170,1
1,3206,1
1,3215,1
1,3284,2
1,3308,1
1,3312,1
1,3322,1
1,3366,1
1,3388,1
1,3436,1
1,3447,1
1,3455,1
1,3505,1
1,3555,2
1,3560,2
1,3563,1
1,3582,2
1,3603,1
1,3628,2
1,3662,1
1,3682,4
1,3683,3
1,3685,1
1,3708,2
1,3725,2
1,3741,1
1,3749,1
1,3750,5
1,3751,3
1,3758,1
1,3772,1
1,3793,1
1,3804,1
1,3847,2
1,3867,1
1,3902,1
1,3925,5
1,3948,1
1,4007,5
1,4008,1
1,4013,7
1,4015,7
1,4101,1
1,4146,1
1,4177,4
1,4180,6
1,4182,1
1,4188,1
1,4268,1
1,4269,2
1,4270,7
1,4365,2
1,4372,1
1,4377,1
1,4378,36
1,4379,2
1,4385,1
1,4479,7
1,4490,2
1,4514,1
1,4553,2
1,4556,3
1,4598,1
1,4656,2
1,4670,1
1,4726,2
1,4777,7
1,4803,16
1,4805,1
1,4810,1
1,4832,3
1,4870,1
1,4893,1
1,4901,1
1,4953,38
1,5003,1
1,5031,1
1,5034,1
1,5037,2
1,5045,2
1,5164,1
1,5175,1
1,5177,4
1,5180,5
1,5182,1
1,5190,1
1,5220,1
1,5240,4
1,5244,1
1,5246,3
1,5263,1
1,5274,1
1,5283,7
1,5352,2
1,5370,17
1,5399,5
1,5422,1
1,5504,1
1,5553,1
1,5554,1
1,5589,2
1,5600,1
1,5604,1
1,5666,1
1,5686,1
1,5732,2
1,5784,1
1,5789,2
1,5803,2
1,5998,1
1,6008,1
1,6046,1
1,6056,2
1,6058,3
1,6082,1
1,6093,6
1,6094,1
1,6103,2
1,6115,5
1,6117,1
1,6118,3
1,6119,1
1,6120,18
1,6140,1
1,6222,2
1,6230,3
1,6237,3
1,6244,3
1,6245,5
1,6408,1
1,6413,1
1,6510,1
1,6579,1
1,6600,2
1,6660,1
1,6698,1
1,6765,2
1,6767,3
1,6796,1
1,6839,1
1,6918,21
1,6927,1
1,6931,3
1,6932,3
1,7011,7
1,7012,1
1,7013,8
1,7077,1
1,7091,5
1,7115,3
1,7120,1
1,7172,1
1,7270,1
1,7275,1
1,7279,3
1,7308,1
1,7326,2
1,7349,4
1,7358,67
1,7365,1
1,7439,2
1,7440,1
1,7471,2
1,7473,1
1,7484,2
1,7493,1
1,7516,1
1,7579,20
1,7600,8
1,7621,2
1,7623,4
1,7710,1
1,7766,1
1,7787,5
1,7874,3
1,7891,1
1,7949,3
1,7969,1
1,7995,4
1,8008,1
1,8051,30
1,8052,1
1,8062,10
1,8139,4
1,8140,8
1,8142,2
1,8187,2
1,8209,2
1,8211,1
1,8370,1
1,8461,5
1,8472,1
1,8508,1
1,8510,1
1,8520,1
1,8524,1
1,8531,1
1,8550,2
1,8575,1
1,8620,1
1,8623,8
1,8628,15
1,8632,4
1,8637,1
1,8639,1
1,8652,12
1,8653,12
1,8665,2
1,8706,1
1,8709,2
1,8737,2
1,8740,1
1,8766,3
1,8835,1
1,8878,2
1,8937,1
1,8940,2
1,8943,3
1,8958,1
1,8959,2
1,8996,3
1,9010,1
1,9037,1
1,9059,2
1,9063,1
1,9117,2
1,9118,1
1,9134,1
1,9144,1
1,9219,1
1,9247,2
1,9296,2
1,9297,1
1,9303,4
1,9306,1
1,9310,2
1,9311,1
1,9336,1
1,9337,1
1,9379,2
1,9380,2
1,9381,2
1,9382,15
1,9383,12
1,9402,13
1,9443,6
1,9576,1
1,9623,1
1,9649,3
1,9654,8
1,9655,1
1,9698,1
1,9716,1
1,9718,1
1,9840,2
1,9846,1
1,9911,1
1,9915,2
1,9975,1
1,9985,1
1,10003,16
1,10013,1
1,10044,2
1,10102,1
1,10155,1
1,10174,1
1,10176,1
1,10181,1
1,10185,2
1,10194,1
1,10198,1
1,10246,1
1,10254,3
1,10293,1
1,10295,1
1,10305,1
1,10345,1
1,10362,1
1,10367,2
1,10368,47
1,10371,2
1,10375,2
1,10416,1
1,10454,4
1,10555,5
1,10572,4
1,10579,1
1,10583,1
1,10593,6
1,10630,1
1,10643,2
1,10674,3
1,10681,4
1,10721,2
1,10732,2
1,10734,3
1,10759,37
1,10765,1
1,10786,1
1,10841,1
1,10861,1
1,10904,1
1,10906,1
1,10920,2
1,10987,2
1,11020,4
1,11053,1
1,11068,1
1,11078,8
1,11098,1
1,11099,1
1,11102,6
1,11152,1
1,11161,1
1,11165,1
1,11183,7
1,11186,1
1,11187,1
1,11203,1
1,11211,2
1,11215,1
1,11244,1
1,11282,2
1,11297,7
1,11315,1
1,11417,4
1,11418,20
1,11425,1
1,11483,1
1,11495,2
1,11590,1
1,11603,1
1,11605,3
1,11606,2
1,11687,1
1,11719,24
1,11725,1
1,11735,2
1,11744,1
1,11796,1
1,11846,2
1,11847,1
1,11856,2
1,11858,1
1,11886,1
1,11901,2
1,11933,1
1,11966,1
1,12153,1
1,12154,1
1,12190,1
1,12274,1
1,12316,12
2,16,3
2,18,1
2,39,1
2,45,1
2,76,1
2,105,1
2,137,6
2,140,1
2,158,1
2,210,1
2,238,1
2,244,1
2,282,1
2,309,1
2,316,31
2,339,2
2,341,1
2,428,3
2,453,2
2,469,2
2,532,1
2,533,2
2,549,1
2,550,1
2,554,2
2,574,1
2,592,1
2,606,1
2,613,1
2,639,3
2,688,1
2,691,1
2,692,2
2,794,1
2,796,1
2,822,3
2,823,2
2,861,1
2,868,2
2,925,2
2,937,1
2,990,4
2,1066,2
2,1096,1
2,1103,1
2,1128,5
2,1154,5
2,1205,1
2,1210,1
2,1218,2
2,1395,1
2,1401,1
2,1482,5
2,1483,2
2,1489,1
2,1537,3
2,1543,1
2,1544,1
2,1547,2
2,1598,1
2,1674,2
2,1679,3
2,1689,1
2,1729,1
2,1742,1
2,1760,1
2,1785,1
2,1835,1
2,1856,3
2,1860,4
2,1873,1
2,1924,1
2,1927,2
2,1943,2
2,1951,1
2,1975,1
2,1976,1
2,2023,3
2,2054,1
2,2055,1
2,2057,1
2,2058,1
2,2059,1
2,2087,1
2,2111,2
2,2153,1
2,2175,1
2,2183,1
2,2192,1
2,2204,1
2,2242,1
2,2243,1
2,2274,3
2,2275,3
2,2276,1
2,2278,1
2,2296,4
2,2304,1
2,2323,1
2,2350,1
2,2353,7
2,2368,3
2,2452,1
2,2457,1
2,2529,1
2,2541,1
2,2574,6
2,2641,3
2,2650,1
2,2652,1
2,2653,1
2,2669,1
2,2675,1
2,2676,1
2,2738,1
2,2756,1
2,2778,1
2,2797,2
2,2798,1
2,2804,1
2,2811,1
2,2821,1
2,2823,2
2,2827,1
2,2837,2
2,2849,1
2,2880,2
2,2902,1
2,2910,2
2,2923,2
2,2944,1
2,2995,1
2,3037,16
2,3080,2
2,3101,2
2,3148,4
2,3215,1
2,3252,1
2,3282,1
2,3284,2
2,3292,1
2,3308,1
2,3320,1
2,3324,1
2,3338,1
2,3339,8
2,3375,3
2,3399,1
2,3454,1
2,3456,2
2,3457,1
2,3466,2
2,3519,1
2,3524,1
2,3576,3
2,3603,8
2,3628,1
2,3632,2
2,3679,1
2,3686,6
2,3725,1
2,3735,1
2,3738,1
2,3750,1
2,3789,1
2,3847,1
2,3877,1
2,3915,1
2,3916,2
2,3927,1
2,3928,3
2,3940,1
2,3979,8
2,4003,1
