v1T,v1L,v2T,v2L
412.9092191,-1812238.992,391.8037466,-1879940.608
523.1798375,-1777650.358,426.1713589,-1803804.938
644.8321595,-1762790.751,462.6270936,-1775443.628
754.7143771,-1756132.961,503.1141978,-1762624.521
870.9809694,-1752001.891,540.4256753,-1754101.685
990.6576584,-1748915.408,575.4964976,-1747194.691
1105.625233,-1746239.337,613.1181999,-1741090.825
1216.615578,-1743731.626,646.9355184,-1735938.303
1322.643175,-1741253.235,680.8275613,-1731760.511
1437.146781,-1738775.294,715.8170039,-1728054.182
1554.735339,-1736218.167,752.450109,-1724610.499
1668.357264,-1733572.54,785.7675149,-1721363.936
1777.450475,-1730851.149,821.2860259,-1718310.302
1888.885611,-1728106.892,856.5554899,-1715445.277
1998.127093,-1725439.766,890.7250211,-1712745.722
2112.411289,-1722910.816,925.0505989,-1710180.664
,,961.2711986,-1707669.078
,,996.2396734,-1705294.034
,,1027.535875,-1702988.972
,,1066.450189,-1700742.102
,,1104.145657,-1698545.419
,,1140.545736,-1696393.342
,,1176.237249,-1694281.832
,,1210.898692,-1692207.808
,,1245.772407,-1690168.778
,,1281.347258,-1688109.442
,,1314.372281,-1686133.202
,,1348.839906,-1684186.782
,,1382.174533,-1682267.928
,,1416.167093,-1680374.836
,,1448.626108,-1678446.5
,,1484.631079,-1676598.675
,,1518.623968,-1674772.293
,,1553.108278,-1672965.018
,,1586.909638,-1671126.515
,,1622.808613,-1669351.284
,,1656.464267,-1667489.743
,,1688.408078,-1665740.081
,,1723.792322,-1663951.779
,,1758.191733,-1662223.783
,,1791.405809,-1660452.714
,,1826.901831,-1658690.423
,,1860.471885,-1656934.493
,,1894.709463,-1655235.489
,,1930.051127,-1653495.428
,,1965.764578,-1651806.999
,,1999.031546,-1650123.705
,,2032.76725,-1648444.817
