,100T,100L,1000T,1000L,5000T,5000L,0.1T,0.1L,0.01T,0.01L,2000T,2000L
1,49.9549,-136902504.3,53.8859,-136860578.5,87.0532,-136931363.9,85.3839,-136800540.9,112.6171,-136796666.4,59.8705,-136885285.4
2,66.2085,-17826176.63,73.0021,-17727796.66,124.2091,-17520528.05,111.1101,-17904205.44,143.4325,-17985085.32,83.5793,-17584745.38
3,79.2621,-17732205.68,91.0802,-17299158.41,169.1586,-17140636.33,134.5806,-17405075.97,171.8183,-17465962.74,108.5451,-17204686.95
4,92.8706,-17629302.26,107.4069,-16710463.7,207.4203,-16563978.04,153.9217,-16762899.32,195.5408,-16811044.01,131.2625,-16667875.97
5,105.4769,-7081671.329,123.1161,-5582099.189,283.9535,-3329486.155,175.5318,-5684883.908,222.8533,-5785249.577,160.6345,-4669406.363
6,120.0391,-6941932.246,141.031,-4522658.828,332.8539,-2142792.285,199.3093,-4752506.243,250.3128,-4908593.978,189.7188,-3574835.332
7,134.7838,-6752559.818,157.5337,-4251219.152,383.4189,-2006372.237,222.1781,-4478222.99,284.0598,-4629160.524,216.2401,-3340053.632
8,150.0245,-6627039.157,173.2118,-3545621.351,421.1831,-1418538.778,242.6233,-3758308.627,310.5008,-3894460.777,241.771,-2797036.891
9,162.7237,-6186361.521,189.2937,-3463259.824,461.4247,-1345463.574,263.3436,-3688468.292,331.7089,-3822034.892,264.5229,-2656497.565
10,174.8132,2393563.168,202.4242,6363693.023,503.902,8070253.479,278.6009,6086176.903,352.1665,5911820.296,281.854,6679833.205
11,189.5923,2528586.34,218.1496,7807462.241,549.9902,8250287.695,299.0823,7721798.966,375.6777,7521968.433,306.7246,7148243.262
12,202.4016,3391766.132,234.5585,8362060.316,586.3959,8719944.686,318.882,8261366.347,396.1694,8055362.944,328.3224,7629850.409
13,214.9299,3450034.427,251.2349,8382230.794,623.4446,8751563.33,339.2062,8269305.619,416.5135,8069784.745,349.9093,7779101.884
14,227.6141,4046138.956,267.2655,8494139.301,661.1833,8866317.616,359.2798,8365982.565,436.5903,8172048.087,371.5474,8095554.169
15,238.4924,13084203.82,282.041,19329966.14,706.0858,18391168.37,375.5501,19103718.02,454.7505,18668396.93,389.4286,17370514.05
16,251.3862,13658758.85,299.0096,20704177.18,745.9569,18615755,395.4078,20539209.86,475.1735,20171128.38,410.8878,17927014.97
17,264.0809,13662716.03,314.9131,20716932.92,785.7165,18622399.32,414.6267,20544217.66,496.4434,20194834.97,432.0475,18043062.08
18,276.5996,13761732.97,331.2404,20726350.96,827.792,18637963.56,435.0607,20551359.53,517.7774,20206960.43,454.0171,18145062.35
19,289.7764,13762724.72,348.2017,20727298.64,866.9829,18643692.51,454.984,20551768.84,539.0731,20208566.1,475.2844,18204351.75
20,301.6786,22683550.16,361.8943,30686233.19,921.1648,26875583.58,472.0374,30582738.07,555.3507,30169163.82,494.047,26554896.38
21,314.0715,22683562.45,378.2828,30990199.68,982.4025,26875784.51,492.3836,30877630.79,576.0154,30516379,516.4553,26620744.79
22,327.2149,22737970,394.3443,31021627.4,1038.7228,26925932.07,513.4782,30908828.86,597.473,30549310.02,537.801,26683788.54
23,340.1517,22738022.25,411.0802,31021968.79,,,533.7942,30908988.1,618.2319,30549914.88,559.4048,26714743.94
24,352.6765,22739259.01,428.0869,31022221.02,,,555.6363,30909127.1,639.9324,30550316.75,582.7839,26744448.64
25,363.139,30414507.87,441.3694,38414697.67,,,573.1767,38313060.91,658.1932,38056934.77,604.6336,33960503.1
26,376.7176,30419839.19,458.8509,38431754.75,,,594.151,38329362.14,681.4633,38076217.41,629.3864,33973521.12
27,389.2599,30419889.59,475.111,38431839.04,,,615.3999,38329405.12,703.2563,38076346.89,655.6743,33982798.5
28,402.9136,30419951,492.8,38431908.79,,,636.3512,38329443.3,724.5329,38076455.85,681.2907,33991811.54
29,415.9757,30420003.92,509.4655,38431981.05,,,657.3137,38329484.66,745.8873,38076565.15,707.6334,34000856.96
30,425.7603,36689883.54,523.2402,43576147.25,,,674.7734,43502148.86,765.1468,43339451.87,734.9827,39805449.51
31,439.5411,36689883.6,539.7917,43576158.2,,,696.0468,43502603.57,786.7224,43339949.74,767.1236,39805609.74
32,451.9363,36690314.36,557.6869,43576199.9,,,721.5275,43502710.68,808.5876,43340088.37,799.5903,39809784.63
33,464.38,36690332.26,576.5986,43576228.49,,,742.9088,43502727.52,831.795,43340133.48,832.7848,39811887.53
34,477.0043,36690357.9,595.1549,43576264.55,,,765.1442,43502748.27,853.2172,43340183.55,865.4762,39815037.99
35,486.8965,40687374.23,608.9088,46085909.37,,,782.5732,46044925.41,871.7199,45968786.37,901.9581,43128555.06
36,499.5148,40687416.88,626.5415,46085970.26,,,803.9848,46044952.38,893.5861,45968814.54,945.1717,43106810.37
37,512.835,40687427.65,643.5973,46085988.8,,,823.0682,46044961.59,915.5925,45968843.11,987.1267,43107615.03
38,526.7784,40687436.07,661.0201,46086002.93,,,842.2994,46044968.98,937.507,45968866.92,1031.4016,43098492.62
39,539.9745,40687448.52,678.5629,46086023.28,,,862.0131,46044979.76,959.7939,45968897.74,,
40,551.1568,42221620.44,693.124,46742417.87,,,878.5515,46716309.98,978.1986,46679021.39,,
41,563.6198,42221620.45,710.1392,46742427.86,,,896.9764,46716312.15,1001.6134,46679023.37,,
42,576.07,42221629.93,726.8829,46742444.22,,,916.0502,46716317.41,,,,
43,589.1336,42221632.35,743.7719,46742451.59,,,934.5807,46716320.29,,,,
44,601.7569,42221638.28,760.9385,46742465.05,,,954.261,46716326.15,,,,
45,613.3955,42526939.06,775.2976,46832244.49,,,970.4332,46808938.68,,,,
46,625.7687,42526939.74,792.3948,46832248.98,,,990.2979,46808939.34,,,,
47,638.2089,42526941.8,809.4711,46832256.53,,,1010.6358,46808942.11,,,,
48,650.7342,42526942.2,827.1041,46832261.09,,,,,,,,
,663.3307,42526945.95,844.2305,46832271.18,,,,,,,,
,673.0714,42561199.69,858.9042,46840289.21,,,,,,,,
,685.2792,42561199.7,876.1726,46840290.17,,,,,,,,
,697.6112,42561201.5,893.2353,46840296.09,,,,,,,,
,710.6481,42561201.58,910.0789,46840299.1,,,,,,,,
,723.8879,42561204.96,927.2952,46840307.05,,,,,,,,
,734.909,42564049.05,941.7118,46840890.34,,,,,,,,
,747.4463,42564049.08,959.1327,46840890.85,,,,,,,,
,761.1015,42564050.72,976.167,46840894.81,,,,,,,,
,773.9256,42564050.77,994.3771,46840896.8,,,,,,,,
,786.5832,42564054.1,1011.7373,46840903.11,,,,,,,,
,796.4634,42564266.35,,,,,,,,,,
,810.281,42564266.36,,,,,,,,,,
,822.605,42564268.01,,,,,,,,,,
,835.1112,42564268.05,,,,,,,,,,
,847.6755,42564271.38,,,,,,,,,,
,857.51,42564286.64,,,,,,,,,,
,869.8433,42564286.65,,,,,,,,,,
,882.3247,42564288.28,,,,,,,,,,
,894.8045,42564288.32,,,,,,,,,,
,907.4151,42564291.65,,,,,,,,,,
,917.1901,42564292.71,,,,,,,,,,
,929.3817,42564292.71,,,,,,,,,,
,941.7426,42564294.36,,,,,,,,,,
,954.1571,42564294.4,,,,,,,,,,
,966.7172,42564297.73,,,,,,,,,,
,976.7403,42564297.79,,,,,,,,,,
,988.9258,42564297.79,,,,,,,,,,
,1001.6528,42564299.43,,,,,,,,,,
