VMP550T,VMP550L,VMP2750T,VMP2750L,VMP5500T,VMP5500L,SVI550_055T,SVI550_055L,SVI2750_055T,SVI2750_055L,SVI5500_055T,SVI5500_055L,SVI550_075T,SVI550_075L,SVI2750_075T,SVI2750_075L,SVI5500_075T,SVI5500_075L,SVI550_099T,SVI550_099L,SVI2750_099T,SVI2750_099L,SVI5500_099T,SVI5500_099L
318.5858946,-4302137.324,430.9574965,-2896000.544,463.5839992,-4103598.912,31.28428459,-1.46E+08,39.05307574,-4234536.531,84.9607155,-3722669.384,22.26081563,-7.34E+08,55.61865933,-1.22E+07,79.97803953,-3462860.206,28.06824344,-8.39E+08,47.28126413,-5.22E+07,86.28086691,-3431508.92
345.5060171,-1222021.33,464.7146369,-1162427.272,500.612771,-1123946.404,52.08967326,-6.54E+07,79.71478787,-3852597.723,151.4931495,-2491368.867,42.97770327,-7.93E+08,96.00841374,-4007685.331,208.6405454,-3259938.71,49.08160801,-1.76E+08,87.83811554,-8242297.72,150.9555755,-3257436.017
375.0605393,-1083876.027,495.7655723,-1025947.409,537.6942508,-980377.3606,73.62496365,-6.15E+07,120.2342574,-4282553.137,227.0509642,-2413389.23,64.44372448,-1.09E+08,134.0759228,-2610874.183,314.1931076,-2897819.666,68.97647329,-2.47E+07,128.6596586,-8204059.737,214.1419508,-2346568.116
406.8730912,-958842.6499,529.3168054,-972900.3398,574.3049732,-868272.9183,93.00134171,-4.32E+07,160.7332548,-2302014.344,291.626664,-2539418.615,84.82851988,-4.34E+07,175.9825322,-2510935.258,410.9603131,-3081715.221,89.2413103,-3.00E+07,168.0105608,-6531266.198,282.4834643,-2248127.469
434.9585574,-872110.7425,563.7129313,-854336.4872,612.1903302,-782376.2191,114.0884914,-6.27E+07,200.0667024,-2407523.96,346.5370908,-2707654.027,105.159518,-8.00E+07,215.2331644,-2191726.972,490.0735552,-2262008.703,108.2789791,-5943965.287,207.9452771,-4914726.55,347.9036735,-2220077.723
464.1381197,-731969.798,595.3285835,-824377.6345,651.6672763,-678679.3526,135.0316291,-7360862.445,240.3167619,-2555565.332,416.5118226,-1762556.803,126.0096068,-1.56E+08,254.5844723,-2241060.483,566.4911767,-2324351.387,129.2155221,-2.58E+07,247.8028321,-4754109.005,414.2202129,-2149834.811
490.0203256,-652147.0459,640.1172733,-628812.7323,690.3870192,-662127.5184,155.8573771,-2537454.613,280.3704133,-1880580.234,478.2580369,-1617457.947,147.0190957,-7.46E+07,289.8940669,-1924032.681,643.5981024,-2287741.183,151.4971269,-1.18E+07,285.46808,-2701966.853,470.1395899,-1908782.381
518.6596618,-575608.3436,675.7292064,-555026.8843,728.4387587,-506046.3512,175.4574435,-9978310.313,317.5857166,-2997860.749,542.8565027,-1590173.396,168.3097191,-6.79E+07,329.3956248,-1891978.389,709.9715186,-2369225.744,172.7475605,-1.02E+07,322.3374131,-4533220.44,537.2114652,-1895761.761
544.1714735,-500673.4816,706.9074803,-473387.6518,767.997843,-423770.6313,195.1532039,-1.24E+07,356.3481523,-3098657.125,596.7222964,-1540184.169,188.6346064,-6.57E+07,364.4027143,-1813801.894,783.8202456,-1748146.579,194.0631655,-2.76E+07,360.9801782,-4820045.11,601.297292,-1873807.668
569.7665419,-432123.2437,737.953513,-401045.4462,805.744336,-348200.4505,216.3724506,-2450931.279,395.9228521,-3204857.156,658.4358878,-1505787.57,208.9712718,-3.87E+07,404.5518961,-1821510.218,855.650829,-1723681.846,215.329451,-6145903.276,402.7862468,-5029858.058,664.9526063,-1856206.21
597.100376,-372590.7226,779.2801712,-340195.6889,845.6270392,-283806.567,236.5481557,-2518836.737,436.9175011,-1830163.117,717.5674573,-1449981.413,231.1769145,-4.18E+07,444.2559179,-1808960.084,923.7540307,-1698149.717,234.560622,-8298610.32,438.8798847,-5190040.987,718.8743354,-1845721.709
622.270743,-323275.294,813.1267301,-290224.516,876.5161885,-251727.8195,257.1586774,-2535030.56,475.0426354,-1825547.907,780.8952248,-1381744.251,252.8932285,-7.52E+07,484.286391,-1747024.903,993.5115274,-1672590.968,255.3638807,-5870863.975,477.8066921,-1847693.025,785.8820605,-1831493.644
650.1534621,-281044.1554,843.1354272,-248867.8912,918.3574195,-218669.8475,278.5384731,-2877616.286,513.4070801,-1593981.938,845.1721419,-1350363.482,274.1081896,-5.31E+07,521.3263273,-1693429.638,1065.008208,-1639828.648,276.9887395,-8191337.595,515.4807482,-1806819.869,843.2070933,-1774568.642
