VMP550T,VMP550L,VMP2750T,VMP2750L,VMP5500T,VMP5500L,SVI550_055T,SVI550_055L,SVI2750_055T,SVI2750_055L,SVI5500_055T,SVI5500_055L,SVI550_075T,SVI550_075L,SVI2750_075T,SVI2750_075L,SVI5500_075T,SVI5500_075L,SVI550_099T,SVI550_099L,SVI2750_099T,SVI2750_099L,SVI5500_099T,SVI5500_099L
318.5858946,-4302137.324,430.9574965,-2896000.544,463.5839992,-4103598.912,31.28428459,-1.44E+07,39.05307574,-2878956.284,84.9607155,-3681674.122,22.26081563,-5.66E+07,55.61865933,-2.94E+06,79.97803953,-3601032.636,28.06824344,-1.69E+07,47.28126413,-6896462.606,86.28086691,-2547282.112
345.5060171,-1222021.33,464.7146369,-1162427.272,500.612771,-1123946.404,52.08967326,-5.40E+06,79.71478787,-2540211.07,151.4931495,-2537845.864,42.97770327,-4.17E+06,96.00841374,-2739614.056,208.6405454,-2626524.062,49.08160801,-4.25E+06,87.83811554,-3147843.993,150.9555755,-2282468.974
375.0605393,-1083876.027,495.7655723,-1025947.409,537.6942508,-980377.3606,73.62496365,-6.08E+06,120.2342574,-4712998.225,227.0509642,-2492501.138,64.44372448,-5.41E+06,134.0759228,-2730031.527,314.1931076,-2707856.754,68.97647329,-1.06E+07,128.6596586,-2864690.424,214.1419508,-2259615.682
406.8730912,-958842.6499,529.3168054,-972900.3398,574.3049732,-868272.9183,93.00134171,-8.20E+06,160.7332548,-5331462.345,291.626664,-2580315.713,84.82851988,-5.72E+06,175.9825322,-2700148.036,410.9603131,-2763689.427,89.2413103,-9.25E+06,168.0105608,-2991182.661,282.4834643,-2149477.055
434.9585574,-872110.7425,563.7129313,-854336.4872,612.1903302,-782376.2191,114.0884914,-6136158.025,200.0667024,-4642154.945,346.5370908,-2365895.775,105.159518,-7.23E+06,215.2331644,-2699186.959,490.0735552,-2745745.729,108.2789791,-7.85E+06,207.9452771,-2625797.93,347.9036735,-2207803.742
464.1381197,-731969.798,595.3285835,-824377.6345,651.6672763,-678679.3526,135.0316291,-7011204.195,240.3167619,-5550387.67,416.5118226,-2213212.158,126.0096068,-2.54E+06,254.5844723,-2691159.494,566.4911767,-2426707.844,129.2155221,-6.28E+06,247.8028321,-2679233.231,414.2202129,-2083996.129
490.0203256,-652147.0459,640.1172733,-628812.7323,690.3870192,-662127.5184,155.8573771,-3335687.577,280.3704133,-2811492.928,478.2580369,-2320549.663,147.0190957,-2.93E+06,289.8940669,-2668464.455,643.5981024,-1930917.147,151.4971269,-7102094.59,285.46808,-2658025.038,470.1395899,-2043492.497
518.6596618,-575608.3436,675.7292064,-555026.8843,728.4387587,-506046.3512,175.4574435,-4766253.319,317.5857166,-3075301.199,542.8565027,-2061113.442,168.3097191,-2.23E+06,329.3956248,-2650380.936,709.9715186,-1883422.707,172.7475605,-7381817.653,322.3374131,-2713877.251,537.2114652,-2012213.097
544.1714735,-500673.4816,706.9074803,-473387.6518,767.997843,-423770.6313,195.1532039,-5045452.507,356.3481523,-2523561.328,596.7222964,-1998618.168,188.6346064,-2680116.066,364.4027143,-2569386.094,783.8202456,-1844005.772,194.0631655,-2763382.968,360.9801782,-2744779.181,601.297292,-1993927.235
569.7665419,-432123.2437,737.953513,-401045.4462,805.744336,-348200.4505,216.3724506,-4.23E+06,395.9228521,-2520457.225,658.4358878,-1656395.967,208.9712718,-2.31E+06,404.5518961,-1802270.775,855.650829,-1814645.714,215.329451,-2756787.558,402.7862468,-2773036.037,664.9526063,-1967532.276
597.100376,-372590.7226,779.2801712,-340195.6889,845.6270392,-283806.567,236.5481557,-4.90E+06,436.9175011,-2353889.943,717.5674573,-1889387.965,231.1769145,-2770381.436,444.2559179,-1779731.528,923.7540307,-1786650.237,234.560622,-2765387.539,438.8798847,-2799785.905,718.8743354,-1951163.922
622.270743,-323275.294,813.1267301,-290224.516,876.5161885,-251727.8195,257.1586774,-4760726.938,475.0426354,-2375209.89,780.8952248,-1916293.441,252.8932285,-2577900.279,484.286391,-1755238.099,993.5115274,-1766032.027,255.3638807,-2717966.473,477.8066921,-2833331.693,785.8820605,-1937603.366
650.1534621,-281044.1554,843.1354272,-248867.8912,918.3574195,-218669.8475,278.5384731,-5066627.811,513.4070801,-2566028.817,845.1721419,-1757571.677,274.1081896,-2293095.336,521.3263273,-1733265.244,1065.008208,-1746901.728,276.9887395,-2733233.564,515.4807482,-2845340.287,843.2070933,-1925995.25
680.4772099,-241804.0704,876.2442917,-215294.9397,949.5731122,-180812.5256,299.9384096,-7719666.13,548.3749895,-2467690.041,903.8065075,-1761265.424,292.9088056,-2640983.207,554.5169246,-1708732.95,1136.57789,-1726688.389,298.2830006,-2800037.227,552.392008,-2827411.716,905.2078911,-1910131.57
710.6357009,-209006.2252,905.2459123,-188626.6338,984.2724626,-156182.6385,320.7727996,-5448374.615,587.2098807,-2539119.022,1024.465735,-1556325.291,314.1616092,-1785152.58,593.8047411,-1687885.241,1209.797646,-1667124.38,317.9706779,-2671885.79,590.5871479,-2801332.032,970.0433876,-1902081.26
742.2173853,-183728.3209,951.6111692,-168576.2277,1017.995918,-139123.5935,340.5026889,-4358550.918,626.0750564,-2597807.981,1145.877006,-1510522.227,334.849821,-1760891.47,629.4754758,-1668504.333,1280.509403,-1648053.269,338.4043243,-2736812.725,627.2286257,-2839619.602,1036.449493,-1890702.703
