nodes2T,nodes2L,nodes4T,nodes4L,nodes8T,nodes8L,nodes16T,nodes16L,,,,,,,,,,,,
66177.8515,-2.19E+09,42239.40286,-2.19E+09,16708.81914,-2.19E+09,9079.788573,-2.19E+09,1,,,,,,,,,,,
74147.3954,-2.08E+09,45813.37046,-2.07E+09,18374.78346,-2.08E+09,10114.58043,-2.07E+09,2,,,,,,,,,,,
82140.6119,-2.05E+09,49374.2914,-2.04E+09,20067.31899,-2.05E+09,11168.17654,-2.04E+09,3,,,,,,,,,,,
90168.2873,-2017877248,52925.01284,-2.02E+09,21766.50732,-2.02E+09,12247.06822,-2.01E+09,4,,,,,,,,,,,
,,56567.14263,-2.01E+09,23450.69799,-2.00E+09,13338.64116,-2.00E+09,5,,,,,,,,,,,
,,60386.64546,-1.99E+09,25207.50076,-1.99E+09,14476.56578,-1.99E+09,6,,,,,,,,,,,
,,64491.83647,-1.97E+09,27112.42005,-1.97E+09,15685.9966,-1.97E+09,7,,,,,,,,,,,
,,68611.29864,-1.95E+09,29086.60707,-1.95E+09,16902.96992,-1.95E+09,8,,,,,,,,,,,
,,72756.13504,-1.93E+09,31069.59085,-1.93E+09,18114.38552,-1.93E+09,9,,,,,,,,,,,
,,76877.87416,-1.92E+09,33061.37211,-1.91E+09,19323.78735,-1.91E+09,10,,,,,,,,,,,
,,80997.58669,-1.90E+09,35044.07934,-1.89E+09,20543.18834,-1.89E+09,11,,,,,,,,,,,
,,85117.12487,-1.87E+09,37028.29219,-1.87E+09,21764.28804,-1.86E+09,12,,,,,,,,,,,
,,89236.4297,-1.84E+09,39012.25418,-1.86E+09,22985.78142,-1.84E+09,13,,,,,,,,,,,
,,,,40997.78738,-1.93E+09,24203.34366,-1.80E+09,14,,,,,,,,,,,
,,,,42976.31566,-1.79E+09,25443.47621,-1.77E+09,15,,,,,,,,,,,
,,,,44958.60243,-1.76E+09,26662.6028,-1.74E+09,16,,,,,,,,,,,
,,,,46948.94584,-1.72E+09,27882.63265,-1.71E+09,17,,,,,,,,,,,
,,,,48928.09425,-1.69E+09,29102.00474,-1.68E+09,18,,,,,,,,,,,
,,,,50910.40928,-1.65E+09,30185.06477,-4.30E+14,19,,,,,,,,,,,
,,,,52892.30222,-1.62E+09,31397.95919,-1.62E+09,20,,,,,,,,,,,
,,,,54874.3066,-1.59E+09,32616.97934,-1.59E+09,21,,,,,,,,,,,
,,,,56855.4726,-1.56E+09,33835.40408,-1.56E+09,22,,,,,,,,,,,
,,,,58836.61179,-1.54E+09,35055.61588,-1.54E+09,23,,,,,,,,,,,
,,,,60827.05896,-1.52E+09,36271.23727,-1.53E+09,24,,,,,,,,,,,
,,,,62811.92142,-1.51E+09,37490.37114,-1.52E+09,25,,,,,,,,,,,
,,,,64816.41211,-1.51E+09,38705.26812,-1.52E+09,26,,,,,,,,,,,
,,,,66798.14502,-1.50E+09,39931.90783,-1.51E+09,27,,,,,,,,,,,
,,,,68783.78446,-1.50E+09,41149.65592,-1.50E+09,28,,,,,,,,,,,
,,,,70768.14858,-1.49E+09,42371.17907,-1.50E+09,29,,,,,,,,,,,
,,,,72765.29494,-1.48E+09,43591.35398,-1.49E+09,30,,,,,,,,,,,
,,,,74749.3161,-1.47E+09,44814.71282,-1.48E+09,31,,,,,,,,,,,
,,,,76733.19903,-1.46E+09,46044.58379,-1.47E+09,32,,,,,,,,,,,
