nodes2T,nodes2L,nodes4T,nodes4L,nodes8T,nodes8L,nodes16T,nodes16L,,,,nodes8T2,nodes8L2,nodes16T2,nodes16L2
66177.8515,-2187494747,42239.40286,-2187130882,16708.81914,-2186368206,9079.788573,-2187102763,1,,-2187024149,21970.85886,-2189051649,10944.56352,-2188234296
74147.3954,-2075946797,45813.37046,-2074751417,18374.78346,-2075104413,10114.58043,-2073181154,2,,-2074745945,23981.73589,-2072319208,12193.82248,-2070317093
82140.6119,-2047051409,49374.2914,-2041991404,20067.31899,-2049116382,11168.17654,-2038374769,3,,,26028.83035,-2040172334,13479.80792,-2037578440
90168.2873,-2017877248,52925.01284,-2015508694,21766.50732,-2019692354,12247.06822,-2012669515,4,,,28090.68965,-2011829482,14775.38555,-2012938170
,,56567.14263,-2005331593,23450.69799,-1999311625,13338.64116,-2004169433,5,,,30353.26699,-1997114244,16129.64813,-1998594300
,,60386.64546,-1992606778,25207.50076,-1985069791,14476.56578,-1989111679,6,,,32665.62303,-1988936674,17562.1925,-1987138628
,,64491.83647,-1972422754,27112.42005,-1970463233,15685.9966,-1968073323,7,,,34995.98531,-1970307496,19018.41379,-1966493139
,,68611.29864,-1950942819,29086.60707,-1952563156,16902.96992,-1945952744,8,,,37285.09039,-1948828931,20470.55935,-1944529863
,,72756.13504,-1931302806,31069.59085,-1930949844,18114.38552,-1927343380,9,,,39575.2116,-1927933715,21939.98583,-1926081941
,,76877.87416,-1916223067,33061.37211,-1910107395,19323.78735,-1910203279,10,,,41868.45771,-1912539811,23414.42497,-1908674695
,,80997.58669,-1895324251,35044.07934,-1894182122,20543.18834,-1889121994,11,,,44160.89818,-1892862089,24882.59403,-1887598258
,,85117.12487,-1869722282,37028.29219,-1874714168,21764.28804,-1863459054,12,,,46457.27946,-1872089507,26221.47123,-27581884196
,,89236.4297,-1841367428,39012.25418,-1863392489,22985.78142,-1835061615,13,,,48757.04401,-1846027459,27677.03273,-1839384167
,,,,40997.78738,-1835000000,24203.34366,-1804750872,14,,-1926667226,51050.36226,-1817326044,29142.77713,-1809267336
,,,,42976.31566,-1792621967,25443.47621,-1773397502,15,,,53342.25716,-1786834579,30593.43194,-1778136928
,,,,44958.60243,-1755786977,26662.6028,-1741679699,16,,,55681.33478,-1755311260,32043.47171,-1745620841
,,,,46948.94584,-1721578290,27882.63265,-1710064018,17,,,58040.56381,-1723429518,33494.80063,-1713067530
,,,,48928.09425,-1688017480,29102.00474,-1678196857,18,,,60102.1826,-8.95835E+13,34944.36597,-1680385291
,,,,50910.40928,-1654309815,30185.06477,-1647918524,19,,-4.29578E+14,62460.02356,-1666552492,36403.29157,-1647918524
,,,,52892.30222,-1616521659,31397.95919,-1617337340,20,,,64826.09956,-1634386689,37879.48996,-1615890558
,,,,54874.3066,-1587889608,32616.97934,-1586794491,21,,,67134.79291,-1603500923,39341.51241,-1585014154
,,,,56855.4726,-1555935145,33835.40408,-1560196348,22,,,69429.36466,-1575803417,40795.64745,-1557687491
,,,,58836.61179,-1537177672,35055.61588,-1540654141,23,,,71728.03743,-1554402161,42285.65322,-1537611385
,,,,60827.05896,-1519951166,36271.23727,-1530290810,24,,,74030.3304,-1540812766,43768.64231,-1526849726
,,,,62811.92142,-1513660139,37490.37114,-1522871863,25,,,76322.95321,-1533792428,45248.67495,-1522421622
,,,,64816.41211,-1506014855,38705.26812,-1519921877,26,,,78617.95784,-1529025658,46715.75355,-1519096237
,,,,66798.14502,-1504218682,39931.90783,-1513047127,27,,,80921.07399,-1524070058,48202.89867,-1514796570
,,,,68783.78446,-1498751169,41149.65592,-1504929173,28,,,83218.35498,-1515737830,49670.02291,-1507074212
,,,,70768.14858,-1489940494,42371.17907,-1496553663,29,,,85516.15058,-1506403207,51128.56718,-1498899396
,,,,72765.29494,-1479612378,43591.35398,-1487261865,30,,,87808.92927,-1497030428,52598.13032,-1491391798
,,,,74749.3161,-1469852138,44814.71282,-1479494266,31,,,,,54065.36916,-1483908963
,,,,76733.19903,-1461249421,46044.58379,-1472973562,32,,,,,55527.15466,-1477412912
,,,,78724.57506,-1454750977,47263.23671,-1466938757,33,,,,,56990.56576,-1471832185
