month,NB,NB-DYNAMIC,NB-FS
1,0.781465699,0.784695597,0.827895348
2,0.802406366,0.805982257,0.846531993
3,0.809352792,0.812917157,0.883409317
4,0.805639908,0.807118473,0.870751009
5,0.798102976,0.801575768,0.810354976
6,0.839413102,0.841686798,0.878479137
7,0.810856035,0.815300603,0.887344121
8,0.87419902,0.876263954,0.888578858
9,0.869955202,0.872743902,0.888764982
10,0.860572385,0.862309189,0.852685722
11,0.87675269,0.878333228,0.914176867
12,0.890028251,0.893508717,0.922860191
13,0.874981931,0.876899561,0.915150464
14,0.890933314,0.892132923,0.905936777
15,0.871755418,0.873442576,0.914089763
16,0.866710383,0.86749504,0.93170608
17,0.89064837,0.890840378,0.936497314
18,0.869770893,0.870426913,0.937441807
19,0.88972626,0.890485361,0.930144753
20,0.913960642,0.914303877,0.933044448
21,0.876711549,0.877348228,0.909869451
22,0.887253092,0.887644661,0.912961633
23,0.883873854,0.884123074,0.932632684
24,0.911450302,0.912075098,0.870919054
25,0.918045975,0.918283353,0.934020987
26,0.910714012,0.910791259,0.933786393
27,0.853630766,0.859514709,0.873251592
28,0.895315343,0.897335014,0.936014611
29,0.90209464,0.902195703,0.931299003
30,0.905134475,0.906079834,0.942583289
31,0.90474122,0.904965327,0.943737044
32,0.92251247,0.922766176,0.947102031
33,0.916072842,0.9165438,0.881378974
34,0.909635534,0.909794357,0.94069499
35,0.91179795,0.912008421,0.874521179
36,0.89884636,0.898922404,0.925826947
37,0.907201742,0.907166294,0.941135607
38,0.925162142,0.925373152,0.946273718
39,0.919534392,0.920005838,0.941880866
40,0.908736294,0.909305962,0.940504937
41,0.920647015,0.920679189,0.945615641
42,0.91297207,0.913050231,0.936632504
43,0.917570074,0.918453595,0.945910808
44,0.918941122,0.919059993,0.949989367
45,0.921732738,0.921908631,0.951027977
46,0.942936275,0.943342156,0.948478855
47,0.947390791,0.94814379,0.94960071
48,0.933812395,0.935525104,0.955038987
49,0.930118274,0.930939121,0.949613849
50,0.935674535,0.936609748,0.947927311
51,0.947228454,0.947739009,0.950092746
52,0.924779327,0.925353232,0.949016884
53,0.946435002,0.946752858,0.94856482
54,0.939832409,0.941107165,0.946901251
55,0.948548428,0.948534021,0.859138974
56,0.946389806,0.946983839,0.955928988
57,0.954619933,0.955183998,0.956843933
58,0.940666887,0.941319157,0.949169787
59,0.929970711,0.931007578,0.937764947
60,0.947233978,0.94788048,0.947566857
61,0.926245402,0.927127938,0.952899674
62,0.952507713,0.953099634,0.955042107
63,0.940435491,0.948162561,0.949698565
64,0.9415571,0.942131826,0.943964886
65,0.94531202,0.945670713,0.956309742
66,0.931965106,0.932400794,0.955912985
67,0.93400163,0.935522434,0.956794528
68,0.950781881,0.952050018,0.960721279
69,0.934056235,0.936729843,0.937017308
70,0.939030642,0.94142581,0.946605774
71,0.95990455,0.960411772,0.965098353
