month,NB,NB-DYNAMIC,NB-FS
1,0.807014404,0.810551967,0.834113459
2,0.813188847,0.816920545,0.845148692
3,0.827435525,0.832977087,0.886120094
4,0.835866803,0.83836635,0.867627213
5,0.819375234,0.821575588,0.849538876
6,0.853114541,0.855361501,0.873349289
7,0.855613948,0.858208406,0.834449598
8,0.866724815,0.869622996,0.893129383
9,0.875625993,0.879031736,0.89019812
10,0.877875317,0.879602768,0.888934849
11,0.883693573,0.886067925,0.915008561
12,0.887435665,0.889860496,0.92303193
13,0.891128747,0.893659197,0.9056268
14,0.895638971,0.896519858,0.92062748
15,0.897456061,0.899882605,0.91856856
16,0.896500186,0.896925764,0.913651603
17,0.900811283,0.901084451,0.93487492
18,0.899800776,0.900117917,0.938143208
19,0.894249845,0.894376877,0.93554346
20,0.902960264,0.904108993,0.937900007
21,0.897622415,0.898005242,0.909138316
22,0.90121565,0.902424555,0.862031747
23,0.903782615,0.90418057,0.919575053
24,0.909692554,0.910374484,0.863478537
25,0.906744185,0.90711778,0.930761051
26,0.897679771,0.897910775,0.933785435
27,0.884316334,0.884983648,0.915131782
28,0.888552825,0.890373165,0.93638195
29,0.893836184,0.894541487,0.932839165
30,0.898407545,0.899007294,0.937026786
31,0.909815013,0.910309791,0.944721824
32,0.911985843,0.912665182,0.947102117
33,0.906613076,0.906894643,0.8835223
34,0.899648438,0.899818967,0.940694462
35,0.901166943,0.901635278,0.876304748
36,0.902101331,0.902683608,0.926869844
37,0.909113163,0.909053594,0.941135133
38,0.925766894,0.926041391,0.946273079
39,0.922538684,0.923391143,0.941881913
40,0.913155207,0.914011801,0.940505057
41,0.911389414,0.911614175,0.945615376
42,0.898508882,0.898834481,0.936631383
43,0.909359705,0.910492353,0.945910765
44,0.916055195,0.916744643,0.949984337
45,0.920203893,0.921073243,0.951028354
46,0.925119217,0.925402607,0.948480208
47,0.934536647,0.935390656,0.946466584
48,0.927549796,0.929135984,0.946954741
49,0.926610251,0.928826419,0.949601935
50,0.925649394,0.927553976,0.947926792
51,0.930774258,0.93236904,0.94459971
52,0.932811514,0.933337753,0.949015389
53,0.93092558,0.931881954,0.94856228
54,0.933786503,0.934531232,0.946044733
55,0.934575831,0.934693374,0.866743816
56,0.937133195,0.938050746,0.955929855
57,0.939545313,0.941358879,0.956844246
58,0.928739313,0.929572034,0.943491599
59,0.928112985,0.928700821,0.937764897
60,0.930994665,0.931708316,0.947567581
61,0.935502114,0.936578855,0.952900309
62,0.941479525,0.942225493,0.955042606
63,0.933494251,0.935862411,0.95010481
64,0.931888094,0.932115608,0.946241415
65,0.941617199,0.942021491,0.95414275
66,0.939411401,0.939779027,0.955913198
67,0.942067483,0.94260557,0.956794472
68,0.94837132,0.950440701,0.960720899
69,0.944535097,0.946767464,0.95932907
70,0.950103634,0.952116572,0.963743149
71,0.955133107,0.955851133,0.966229422
