%    Headers     that is to be ignored.
% One more line to be ignored
    
@relation       "HayTrain" notname
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute class {1,2,3,4}
@DATA
290,89,624,120,21.0,114.0,37.5,29.8,1.0,1
53,25,283,182,12.0,99.2,32.6,2.4,0.9,1
154,96,476,967,8.0,103.4,31.3,9.4,1.0,1
78,58,352,535,9.0,99.7,34.3,2.1,1.4,1
35,18,253,342,22.8,106.0,34.5,1.0,1.5,1
35,13,276,34,22.4,90.3,30.5,0.8,0.8,1
33,29,371,80,30.5,111.6,36.4,0.6,1.5,1
108,62,314,704,15.5,79.3,24.5,1.1,1.2,1
45,20,270,158,18.0,110.8,35.3,2.8,1.3,1
42,15,264,149,12.5,109.3,34.5,0.9,0.5,1
35,22,236,67,8.5,108.6,36.1,0.5,0.8,1
67,23,406,149,6.7,98.6,32.4,2.3,0.5,1
48,24,217,49,17.9,90.9,31.0,0.8,0.7,1
41,14,307,429,8.2,105.6,36.1,1.0,0.8,1
35,12,277,5,26.9,83.8,27.5,0.6,1.3,1
25,36,263,78,12.0,100.8,33.7,3.2,0.6,1
32,31,360,71,14.4,89.7,30.2,0.6,0.9,1
52,31,358,261,12.9,106.7,35.6,2.5,1.1,1
113,35,324,630,3.8,116.0,37.9,2.3,0.8,1
24,18,218,88,18.7,93.7,33.0,0.6,1.0,1
215,54,432,258,3.3,112.1,37.5,0.7,0.8,1
30,21,509,86,23.6,104.0,35.8,3.0,1.1,1
210,120,459,239,9.8,101.5,33.1,1.2,0.9,1
72,29,481,278,10.1,103.7,35.4,1.5,1.2,1
45,23,341,512,7.8,79.9,24.5,0.4,1.1,1
39,19,395,134,9.7,101.9,34.2,2.2,1.0,1
150,149,313,390,12.7,101.6,32.4,0.6,0.9,1
188,101,440,425,13.8,101.1,34.6,3.6,1.0,1
71,34,541,274,10.1,96.5,32.5,3.0,0.9,1
170,199,310,86,13.9,98.9,33.8,0.9,1.1,1
180,111,280,954,8.9,104.8,34.8,3.2,0.9,1
366,162,689,200,26.0,121.0,40.6,26.7,0.9,1
37,22,244,188,11.0,100.0,32.8,1.6,1.2,1
157,85,298,734,14.0,90.1,35.7,3.9,0.9,1
30,22,210,258,35.4,104.4,35.5,2.1,1.8,1
24,14,301,48,20.8,108.5,35.9,1.2,1.2,1
34,20,197,98,14.5,106.3,34.0,0.6,0.5,1
17,9,249,31,6.1,107.3,36.3,0.5,1.0,1
25,13,306,65,11.8,93.5,31.5,1.4,0.7,1
60,33,227,48,18.7,90.3,31.1,0.7,0.6,1
36,13,207,251,13.8,104.5,35.4,0.7,0.8,1
26,20,235,60,12.8,99.4,33.9,1.6,0.8,1
46,25,325,261,13.3,106.6,33.9,2.5,1.1,1
169,59,362,457,7.4,116.1,38.4,1.2,0.7,1
37,29,246,81,18.7,93.8,31.5,0.7,1.0,1
113,77,346,135,8.4,109.3,36.6,0.5,0.7,1
43,42,257,99,12.1,93.1,31.3,0.7,1.1,1
35,21,462,68,21.2,103.2,35.1,3.0,1.1,1
80,37,376,249,10.9,100.0,34.0,1.3,1.2,1
27,14,320,335,9.9,78.8,24.4,0.3,1.0,1
31,18,360,123,10.2,99.5,33.7,2.0,1.0,1
101,138,278,270,12.1,100.5,33.5,0.8,0.9,1
94,86,290,331,12.7,100.6,34.3,3.3,1.0,1
184,188,357,88,12.2,98.6,33.3,1.0,1.0,1
61,37,343,118,22.1,93.5,31.6,1.2,1.3,1
133,120,410,343,19.0,119.7,40.5,8.3,1.0,1
25,13,221,118,12.0,95.3,32.5,1.0,1.2,1
30,18,236,220,11.0,113.5,35.6,0.8,1.1,1
41,30,209,180,36.1,101.5,33.4,1.2,1.6,1
27,17,312,23,18.0,106.4,35.4,0.4,1.0,1
43,27,220,234,12.9,73.0,23.8,0.7,1.3,1
40,19,244,100,12.1,110.2,35.8,2.0,1.1,1
25,12,179,35,11.2,102.4,32.4,0.5,0.6,1
22,8,288,36,7.0,94.3,32.3,0.6,0.8,1
35,19,247,41,14.9,90.1,30.6,0.6,0.5,1
39,21,218,163,11.5,101.9,34.8,0.6,1.1,1
46,13,333,12,36.2,83.5,27.5,1.0,1.2,1
56,19,345,185,10.8,101.2,34.3,2.3,1.0,1
28,14,446,57,19.1,101.2,34.4,2.7,1.2,1
40,30,283,83,6.5,95.7,33.2,0.6,1.0,1
